BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,483067,563078,605371.5,726231,856807
1,1,2,2,0,27,457452,536986,579322,701316,831718
2,1,3,3,0,10,447669,527262,569618,693042,823227
3,3,6,6,0,68,379888,459570,501847.5,625959,756019
4,1,7,7,0,80,300272,379902,423794.5,546951,676628
5,1,8,8,0,46,254515,334169,378587,502269,632709
6,1,9,9,0,118,136741,216494,261441,388805,516294
7,1,10,10,0,90,46975,126828,172194,299956,427519
8,1,11,11,0,49,3274,3778,8460,123096,346699.1999999999
9,1,12,12,0,64,4595.2,4947,7154,60389,284802.3999999999
10,1,13,13,0,84,1338.2,1783,2499,5889,205187.3999999999
11,1,14,14,0,61,4075.2000000000003,4474,4668,8130,146001.1999999999
12,1,15,15,0,62,1585.4,2015,2350,4312,85428.59999999992
13,1,16,16,0,6,1987.4,2310,2618,5442,81926.1999999999
14,1,17,17,0,78,1864.8000000000002,2296,2491,5677,26118.999999999956
15,1,18,18,0,89,2912.2,3489,4600,5403,23841.59999999997
16,1,19,19,0,74,2485,2860,3852,5080,7204.199999999997
17,1,20,20,0,59,721.2,1035,2947,6361,23336.19999999996
18,1,21,21,0,60,901,1304,1506,3560,11657.399999999998
19,1,22,22,0,57,2780.6,3383,4151,8923,28688.39999999996
20,1,23,23,0,50,5107.4,5471,5845,8827,16238.2
21,1,24,24,0,56,3619.4,4027,4290,8166,28793.799999999977
22,1,25,25,0,64,2465.4,3099,3768,11966,24246.799999999974
23,1,26,26,0,97,1320.8,1774,2170,10678,15588.999999999995
24,1,27,27,0,89,18259,18763,19587,21159,27788.800000000003
25,12,39,39,0,54,5979.2,6314,7355.5,15016,88714.79999999996
26,36,75,75,1,77,2780.1000000000004,3631.5,5178,15120.5,21091.399999999958
27,1,76,76,0,6,899.4000000000001,1732,4104,12054,26794.19999999999
28,22,98,98,0,69,1382,2237,2687.5,4806,32712.399999999812
29,1,99,99,0,59,942.2000000000002,1587,3411,9405,22456.199999999983
30,1,100,100,0,13,1195.2,1650,2264,10083,15502.79999999999
31,1,101,101,0,60,799.6,1530,2092,5215,17075.599999999984
32,1,102,102,0,60,2012.2,2696,2877,4317,10899.799999999992
33,21,123,123,0,69,3126,3447,3873,4879,8068.999999999998
34,1,124,124,0,12,4274.8,4757,5119.5,8224,38426.499999999745
35,23,145,147,0,73,692.6,978,1399.5,14435,29095
36,40,187,187,0,20,4355.200000000001,5039,5487,6846,15793.799999999996
37,1459,1646,1646,0,76,1786.4,2208,2996,8754,19456.799999999974
38,15,1661,1661,0,30,2356.2000000000003,2747,3111,4846,28203.399999999987
