BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,225125.5,387375,533194,712369,846901.5
1,1,2,2,0,22,209129.5,366477,515216.5,696270,827549
2,1,3,3,0,2,207417.5,364842,514429.5,695791.5,827546.5
3,1,4,4,0,30,177718,335183.5,485480,667279.5,799271.5
4,3,7,7,0,24,153992.5,311601,462625,644147.5,776443
5,1,8,8,0,48,47112,223450,399905,588135,719429.2
6,1,9,9,0,30,25628.200000000004,193844,372831,559236,690599.5999999999
7,1,10,10,0,27,11971.2,167432,348457,533878,664858.3999999999
8,1,11,11,0,20,14065.400000000001,147675,333950,515679,648360.5999999999
9,1,12,12,0,28,29777.600000000002,119902,308361,490679,622048.7999999998
10,1,13,13,0,57,11897,63136,253228,436130,567202.5999999999
11,1,14,14,0,26,6787.400000000001,37362,228371,411740,543305.5999999999
12,1,15,15,0,33,8500.4,10955,196950,382270,511488.19999999984
13,1,16,16,0,10,10199.2,11443,188960,374409,502750.39999999985
14,1,17,17,0,16,11945.6,13505,177719,361551,488019.9999999999
15,1,18,18,0,39,12920,13880,141402,324442,451217.59999999986
16,1,19,19,0,25,12567,13306,117661,300439,428105.7999999999
17,1,20,20,0,34,5963,6583,85987,267044,395957.7999999999
18,1,21,21,0,9,3753.4000000000005,4087,79640,260370,388363.9999999999
19,1,22,22,0,7,24800.4,25168,74821,254621,384110.7999999999
20,1,23,23,0,32,4608.8,5135,43237,226480,354319.9999999999
21,1,24,24,0,29,6299.6,7143,14588,199632,326267.7999999998
22,1,25,25,0,6,6913.2,7428,9044,196590,321955.7999999998
23,1,26,26,0,18,5758.4,6165,6654,181691,306104.59999999986
24,1,27,27,0,34,9826.6,10378,10755,148925,274857.39999999985
25,1,28,28,0,27,5137.4,5631,6385,123485,250650.19999999984
26,1,29,29,0,6,10373.6,10701,12600,118635,248780.59999999986
27,1,30,30,0,38,9043.8,9376,9623,82512,214140.19999999984
28,1,31,31,0,31,2322.4,3222,3955,53362,184548.79999999984
29,1,32,32,0,9,4661.8,5185,7393,45388,177694.79999999984
30,1,33,33,0,4,3545.4,3895,5519,48124,177312.39999999985
31,1,34,34,0,18,3255.6,3707,4640,31116,160203.39999999985
32,1,35,35,0,23,1643.2000000000003,2062,3633,9413,138505.19999999984
33,1,36,36,0,1,1863.6,2482,4478,10110,138825.99999999985
34,1,37,37,0,10,1214,1636,2312,7716,130293.59999999985
35,1,38,38,0,32,1457,1938,2950,6139,100326.99999999985
36,1,39,39,0,2,1250.8000000000002,1686,4516,11066,100511.59999999985
37,1,40,40,0,19,2400.8,2790,4825,7806,84711.19999999984
38,1,41,41,0,25,2640,2981,4767,6749,61558.99999999984
39,1,42,42,0,10,1199.4,1496,2917,4299,54763.399999999834
40,1,43,43,0,61,1503,1765,2211,8907,47039.39999999996
41,1,44,44,0,24,5307.2,5593,7386,12107,39780.39999999998
42,1,45,45,0,11,7329.6,7639,8521,11416,41972.79999999999
43,1,46,46,0,11,5540.2,5908,7185,15108,43797.59999999999
44,1,47,47,0,7,1879.6,2132,4461,12717,43113
45,1,48,48,0,27,1646.6000000000001,2040,4747,9766,31327.799999999996
46,1,49,49,0,4,922.8,1545,3971,11887,30789.99999999999
47,1,50,50,0,11,1933,2383,2574,7142,39363.79999999997
48,1,51,51,0,9,783.4,1074,3147,7183,39293.39999999997
49,1,52,52,0,39,3428.3999999999996,3767,4044,12685,18988.799999999996
50,1,53,53,0,9,895.2,1231,2034,10769,34934.799999999945
51,1,54,54,0,4,1344.6000000000001,1713,2691,12434,38071.99999999995
52,1,55,55,0,27,5782.4,6369,8785,15141,41474.799999999996
53,1,56,56,0,26,751.0000000000001,1382,2759,9306,22233.59999999999
54,1,57,57,0,8,3839.2000000000003,4867,6734,11936,21132.999999999985
55,1,58,58,0,5,2019,2435,3714,16069,26906.19999999998
56,1,59,59,0,58,2858.6000000000004,3257,4435,8935,18830.79999999998
57,1,60,60,0,31,2253.2000000000003,2980,3960,8659,12969.599999999995
58,1,61,61,0,2,1662.4,2360,7689,18912,28824.399999999998
59,1,62,62,0,9,1245.4,2356,3403,23189,34077.2
60,33,95,95,0,597,5847,8339.5,15720.5,26817,99882.5
61,9,104,104,1,9,749.1999999999999,1433,12969,31208,110528.59999999999
62,1,105,107,0,9,3756.1,4420,11825.5,23932,103743.29999999996
63,15,120,120,0,10,1307,1710,10045,31886,98534
64,2,122,122,1,15,666,1188,11509,20219,88686
65,3,125,125,1,7,1393,1990,4759,15779,91592
66,1,126,126,0,6,702.4000000000002,938,4711,23162.5,77086.6999999999
67,2,128,128,1,11,890.4000000000001,1199.5,5702.5,21177.5,74396.39999999992
68,2,130,130,0,3,1076.4,1575,1806,17876,77959.19999999998
69,1,131,131,0,4,1647,2341,2551,15241,76371.79999999999
70,1,132,132,0,9,858.4000000000001,1188,3850,13337,70345.39999999998
71,9,141,141,0,18,1478.8,1965,3908,21527,52914.39999999998
72,11,152,152,0,27,730,880,2508,16930,37541
73,1,153,153,1,29,927,1029,4517,8241,18294
74,1,154,154,0,10,2782.8,3043,3562,5032,20776.799999999916
75,1,155,155,0,29,3001,3701,4277,8863,20704.59999999998
76,1,156,156,0,11,3117.8999999999996,3618,4188.5,5621,10363.599999999979
77,1,157,157,0,12,2464.8,2669.5,3141.5,5572.5,38086.09999999993
78,1,158,158,1,31,767,1034,2017,6139,19116
79,1,159,159,1,14,2788.5000000000005,3514.5,3851,5514,15664.699999999964
80,1,160,160,0,7,6741.8,7152,7488,11399,22550.799999999996
81,1,161,161,0,15,981.2,1274,1676,7042,10026
82,1,162,162,0,23,1111.4,1439,2081,4013,34296.59999999998
83,1,163,163,0,17,897,1256,2392,4133,25029.19999999999
84,1,164,164,0,17,1467.6000000000001,1747,3198.5,7300.5,43219.199999999946
85,1,165,165,1,14,3564,3922,4574,9400,38209
86,2,167,168,0,31,713.8000000000001,871,2097,7725,24205.79999999997
87,12,179,179,0,22,1800.1000000000001,2379,2533,6936,16449.59999999995
88,1,180,180,0,9,1434.6000000000001,1851,2286,4719,19042.599999999984
89,2,182,182,0,17,1154.2,1456,2030,5706,12718.599999999988
90,8,190,190,0,10,940.2,1270,1830,3715,10267.599999999997
91,1,191,191,0,22,1250.8000000000002,1883,2051,3082,16538.99999999998
92,1,192,192,0,8,2503,2735,3277,6748,12985.799999999988
93,1,193,193,0,16,2252.2,2950,3058,4850,9471.999999999993
94,1,194,194,0,11,4260.6,4560,4963,7300,36064.6
95,55,249,249,0,33,1075.8,1403,2876,6635,42678.59999999996
96,251,500,500,0,26,1393.4,2125,5975,8606,30753.399999999958
97,212,712,712,0,12,10073.6,11172,11701,16893,37134.999999999956
98,416,1128,1128,0,29,5583.8,6037,6821,9753,30505.79999999997
99,261,1389,1389,0,14,7394.600000000001,7974.5,10319,21111.5,44085.79999999991
100,413,1593,1802,1,25,1356.1000000000001,1681,7703,12883,24575.09999999984
101,120,1922,1922,0,16,1404,1811,8598,17276,59710
102,78,1971,2000,1,13,968,1340,5138,10606,56844
103,6,2006,2006,0,6,4854.2,5165,5498.5,18101,64864.79999999986
104,111,2117,2128,0,21,1231.3000000000002,1908,4709,8764,50786.399999999856
105,382,2499,2499,0,17,1203.6000000000001,2116,5367,13648,58107.7999999999
106,674,3173,3173,0,11,1911,2052,5730,20684,71004
107,1091,4264,5353,1,35,3712,4468,8686,21770,39922
108,1642,5906,5906,0,26,1739,2811,5165,8494,31545.79999999996
109,1338,7244,7244,0,11,1719.3000000000002,1927,5796.5,14107,46811.499999999905
110,1239,8178,8483,1,25,11918,13564.5,16255,22051,40372
111,1,8484,9323,1,29,7006,8074,19756,73239,88856
112,3519,10905,12581,1,43,2453.6,7975,25324,31486,60847.6
113,3315,14139,15318,1,27,3674.8000000000006,4941,16569,29100,57146.799999999974
114,1607,16925,16925,0,28,2100,3044,6107,11579,41852.2
115,1567,18492,18492,0,23,10579.400000000001,12199,16329.5,25141,38012.19999999998
116,2892,21384,21813,0,26,9700,10437,11698.5,20835,45434.699999999975
117,1698,23082,23082,0,37,1805,2284,10196,20522,34615.599999999984
118,2409,25491,25491,0,19,2227.4000000000005,2742,8211,17795.5,57378.09999999988
119,3408,28899,29939,1,20,3767,4341,16755,29819,72778
120,2957,31856,39553,0,33,13801.400000000001,21167,24320,30762,65399.39999999998
121,12235,44091,44091,0,35,11685.6,14931,17299,26800,68631.79999999999
122,6996,51087,51087,0,27,3542.2,5223,9463,14774,60583.59999999998
123,1810,52897,52897,0,12,2061.6,2577,6593,11806,78011.39999999997
124,1179,54076,54076,0,31,1558.0000000000002,2297,8106,14946,105412.39999999994
125,2865,56941,56941,0,25,2132.2000000000003,3206,6458,13269,104456.59999999986
126,5102,62043,62043,0,42,6237,22671.5,241520.5,471706.5,756494.2000000001
127,17384,64566,92354,2,41,39579,116395,301936.8333333333,457488,702536
128,20373,79388,100129,2,93,58480,141640,292005,394814,613701
129,33616,92914,133416,3,139,28108,139120,223066,316732,570874
130,33615,103568,167031,1,120,11761.300000000001,110396,179781,255600.5,494088
131,33615,200646,200646,0,126,20246,41157,102922,212553,401633
132,10253,201879,210899,0,68,21488,56517,91176,175680,365150
133,11829,211049,231338,1,117,43286.60000000001,86781.5,217416.5,288925,585362.5999999992
134,192,222920,226901,1,82,29827,127222,186477,272223,632703
135,8173,231093,260439,2,89,18556,85318,159923,271804,517932.1999999994
136,33615,264708,271761,3,109,7981,57240,132478,252884,489803
137,33615,291525,298323,1,83,33642.2,79859,160664.5,231631,922597.5999999953
138,33615,331938,331938,0,64,7748,86632,132009.5,226938,928573
139,33614,365552,365552,0,89,61931,181883,338954.5,478199,854071
140,16433,381985,399167,3,102,26553.80000000001,119154,256415,383234,599244.1999999996
141,28406,410391,432782,4,168,22880,110178,223489,412055,732898
142,33615,444006,444006,1,92,93519,171475,321899.5,457891,840943
143,33615,477086,477621,2,186,8115,53961,166779,331853,733138.4000000007
144,27828,505449,505449,0,74,8941,99093,192563.5,368953,748451
145,33615,539064,539064,0,170,52226,93055,219874,395085,663258.7999999996
146,18322,549554,557386,1,106,37888.399999999994,102011,236230,332643,615200.8
147,12019,567309,591001,1,125,14954,66806,133805,290719,513403
148,31144,600549,603020,1,164,10549,93264,126722,188898,413267
149,9263,609812,609812,0,106,32247.400000000005,77331,115326,281220,848033.3999999989
150,33615,643427,643427,0,49,72601.40000000001,126336,249189.5,460572,923430
151,33615,677042,677043,1,165,41892,122690,256253,450084.5,773476
152,33616,704298,710658,1,143,11735,108627,202168,469901,643713
153,33614,737913,744273,2,157,9268,137337,337898.5,482585,682358
154,33616,777887,777888,2,212,14006,117309,305408,515164,1070769
155,33615,811502,811503,1,178,34252.000000000015,136641,298813.5,439865,989993.4999999999
156,33614,845117,845117,2,93,8651,145366,280718,506505,1027269
157,33614,878731,878732,0,217,9960,62071,118063.5,435007,888757
158,33615,912346,912346,0,105,13614,103420,138270,553061,1194148
159,33614,945960,945961,1,158,10599,75979,144036,485326,994507
160,33614,979574,979576,0,169,8195,95871,144835,421670,1586470
161,33616,1013189,1013190,1,114,9166,122825,583294,744980,1005753
162,33616,1046804,1046806,1,258,29746.200000000008,119899.5,474276.5,767922.5,1604693.4999999998
