BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
265,1,"2,382,988","2,382,988",0,14,"1,240.2","1,397","1,970","2,087","248,341"
266,1,"2,382,989","2,382,989",0,17,700.4,873,"1,034","1,535","231,813"
267,1,"2,382,990","2,382,990",0,14,"1,240.6","1,427","1,533","1,986","218,073"
268,21,"2,383,011","2,383,011",0,26,"1,409","1,595","1,954","6,515","192,617"
269,1,"2,383,012","2,383,012",1,8,1,"1,789.5","2,440","3,292.5","185,023"
270,1,"2,383,013","2,383,013",0,16,"1,436","1,658","1,892","2,035","170,113"
271,1,"2,383,014","2,383,014",0,12,614.4,779,"1,270","1,396","158,444"
272,1,"2,383,015","2,383,015",0,13,"1,770","1,860","1,986","3,053","145,713"
273,20,"2,383,035","2,383,035",1,25,394,970,"1,222","1,662","121,086"
274,2,"2,383,037","2,383,037",0,8,943.4,"1,205","1,324","1,798","113,572"
275,1,"2,383,038","2,383,038",0,19,"1,017","1,592","1,892","2,212","94,875"
276,1,"2,383,039","2,383,039",0,15,"1,477.2","1,701","1,837","2,329","80,312"
277,7,"2,383,046","2,383,046",0,13,"1,536.2","1,901","2,290","2,365","67,681"
278,1,"2,383,047","2,383,047",0,17,913.6,"1,136","1,266","1,648","51,041"
279,15,"2,383,062","2,383,062",0,24,"1,371","1,501","1,807","2,259","27,351"
280,1,"2,383,063","2,383,063",1,9,838,"1,330","1,606","1,939","18,678"
281,1,"2,383,064","2,383,064",0,5,954.4,"1,262","1,693","2,252","14,063"
282,1,"2,383,065","2,383,065",0,23,"1,101.4","1,326","1,367","1,521","1,844.8"
283,20,"2,383,085","2,383,085",0,21,"1,396.4","1,573","1,807","2,318","2,653"
284,2,"2,383,087","2,383,087",0,14,559,854,"1,195","1,373","1,542.6"
285,1,"2,383,088","2,383,088",0,18,905.6,"1,159","1,363","1,538","1,728"
286,1,"2,383,089","2,383,089",0,14,698,967,"1,314","1,525","1,742"
287,1,"2,383,090","2,383,090",0,18,768.8,"1,021","1,098","1,245","1,551.8"
288,21,"2,383,111","2,383,111",0,9,"1,877.3","2,012","2,320","34,460.5","34,961.4"
289,1,"2,383,112","2,383,112",1,26,905,"1,441.5","2,005.5","8,720","9,186.2"
290,1,"2,383,113","2,383,113",0,7,"1,542.4","1,840","2,149","2,252","2,488"
291,1,"2,383,114","2,383,114",0,8,"1,357","1,463.5","1,632","1,907.5","4,968.8"
292,21,"2,383,134","2,383,135",0,26,"1,180.4","1,861","2,048.5","2,237.5","2,668.9"
293,1,"2,383,136","2,383,136",0,20,317,818,"1,256","1,544","2,454"
294,1,"2,383,137","2,383,137",0,11,"1,419.2","1,602","1,708","2,054","2,245.6"
295,1,"2,383,138","2,383,138",0,19,"1,066.8","1,322","1,635","1,939","2,155.4"
296,10,"2,383,148","2,383,148",0,14,"1,228.6","1,442","1,998","2,113","3,460.8"
297,10,"2,383,158","2,383,158",0,6,780.4,"1,058","1,492","1,694","2,021"
298,3,"2,383,161","2,383,161",0,29,"1,380.4","1,609","2,042","2,111","2,284.4"
299,1,"2,383,162","2,383,162",0,11,737,937,"1,116","1,328","1,471.6"
300,1,"2,383,163","2,383,163",0,13,"1,234.4","1,371","1,471","1,915","2,068.8"
