BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"173,947.5","314,462","487,974.5","666,847.5","827,554"
1,1,2,2,0,15,"96,779.2","290,171","468,498","654,204","812,322"
2,1,3,3,0,6,"93,298.2","284,806","464,173","649,831","807,461.2"
3,1,4,4,0,26,"78,340","259,232","438,699","625,239","782,680.2"
4,3,7,7,0,25,"64,842.2","234,569","414,249","602,033","758,672.8"
5,1,8,8,0,14,"57,887.2","220,836","400,808","588,907","745,601.6"
6,1,9,9,0,32,"38,899","189,245","369,526","558,086","715,437.8"
7,1,10,10,0,12,"34,563.6","177,680","358,111","546,892","704,368.6"
8,1,11,11,0,15,"24,111.6","163,348","343,745","532,527","691,044.6"
9,1,12,12,0,14,"16,186","150,190","330,288","519,236","677,857"
10,1,13,13,0,21,"3,915","130,411","309,976","499,116","658,217.4"
11,1,14,14,0,10,"1,752.4","120,961","300,532","490,067","649,535.4"
12,1,15,15,0,30,"3,718.4","91,529","271,299","460,910","621,206.8"
13,1,16,16,0,12,"1,921.2","79,914","260,208","449,477","612,005.2"
14,1,17,17,0,4,"1,473.4","76,590","256,859","446,020","608,938.2"
15,1,18,18,0,41,"2,296.2","36,594","216,735","405,637","568,880.4"
16,1,19,19,0,9,"4,600.8","28,437","208,461","397,238","561,612"
17,1,20,20,0,16,"2,610.2","13,421","193,284","382,581","548,542.4"
18,1,21,21,0,12,"5,275.8","6,966","181,976","371,464","538,325.8"
19,1,22,22,0,32,"7,729.8","8,541","151,060","340,015","507,721.4"
20,1,23,23,0,23,"2,219.6","3,515","128,828","317,591","486,914"
21,1,24,24,0,9,"3,565","6,718","120,412","309,042","478,605.6"
22,1,25,25,0,6,"4,131.2","6,913","115,305","303,526","474,846.2"
23,1,26,26,0,5,"2,747.6","7,143","110,730","302,541","471,603.4"
24,1,27,27,0,16,"2,419.6","4,838","95,444","286,892","457,877.8"
25,1,28,28,0,25,"3,011","4,762","71,595","262,443","435,041.6"
26,1,29,29,0,22,"1,952","4,916","50,580","242,004","414,214.2"
27,1,30,30,0,18,"5,179","6,231","33,381","224,805","397,355.6"
28,1,31,31,0,24,"2,544","3,472","10,723","201,623","375,256.4"
29,1,32,32,0,8,"2,243.8","3,899","5,381","194,524","368,492.4"
30,1,33,33,0,25,"3,226.2","4,432","6,280","170,691","344,922.2"
31,1,34,34,0,3,"1,985.4","2,992","5,133","168,509","342,593"
32,1,35,35,0,11,"2,184.6","2,888","6,302","158,332","334,302.8"
33,1,36,36,0,36,"1,705.8","2,460","3,638","122,913","299,728.8"
34,1,37,37,0,0,"2,462.6","3,870","5,087","123,565","300,659.8"
35,1,38,38,0,30,"2,483.6","3,692","5,596","94,099","271,702.2"
36,1,39,39,0,2,"3,742.4","5,235","10,803","92,724","270,690.4"
37,1,40,40,0,25,"1,880.8","3,426","5,628","68,476","246,373.2"
38,1,41,41,0,1,"3,210.8","4,392","7,261","68,100","249,008.8"
39,1,42,42,0,27,"1,452.6","2,692","3,328","41,486","222,942.8"
40,1,43,43,0,25,810.8,"1,605","2,456","16,941","198,391.4"
41,1,44,44,0,19,"1,941.4","2,588","3,447","7,029","180,783.4"
42,1,45,45,0,14,"1,964.2","2,829","4,029","8,052","168,315.8"
43,1,46,46,0,8,"1,726.6","2,835","3,317","6,523","161,504.2"
44,1,47,47,0,32,"2,299.4","2,994","3,647","4,397","130,826.2"
45,1,48,48,0,10,"1,350.8","2,090","3,270","4,726","123,547.4"
46,1,49,49,0,11,"1,780.4","2,737","3,279","5,634","113,959.4"
47,1,50,50,0,34,"2,059","3,155","4,626","6,060","80,822"
48,1,51,51,0,3,"1,872","3,041","3,892","7,893","78,781.6"
49,1,52,52,0,12,"4,766.6","5,295","6,065","8,377","67,525.4"
50,1,53,53,0,39,"3,549.6","4,777","7,050","8,538","29,552.4"
51,1,54,54,0,9,"2,280.2","3,212","3,941","4,866","22,382"
52,1,55,55,0,5,"1,350","2,201","3,113","5,471","32,106.4"
53,1,56,56,0,34,"1,183.6","1,953","2,773","3,965","7,975"
54,1,57,57,0,21,"2,043.8","2,681","3,700","5,774","12,295.2"
55,1,58,58,0,2,"1,295.6","2,048","3,017","10,183","22,706.4"
56,1,59,59,0,7,"2,590.4","3,696","4,284","8,365","17,971.4"
57,1,60,60,0,22,"1,608.4","2,540","3,877","5,119","10,071.6"
58,1,61,61,0,41,"1,586.8","2,084","3,087","5,440","10,659"
59,1,62,62,0,4,892.6,"1,658","2,564","6,143","14,313.8"
60,27,89,89,0,680,"9,239.1","9,920","11,494","15,580","30,147.2"
61,5,94,94,0,26,"2,479","3,103","4,599","21,818.5","29,725"
62,12,103,106,1,22,"2,230","3,080","3,854","6,247","10,490"
63,1,107,107,0,4,"3,982.6","5,077","8,688","33,836","49,435.2"
64,1,108,110,1,22,"2,266","3,702","8,164","23,707","28,401"
65,3,111,111,1,5,"1,165","3,685","4,925.5","13,213","25,477"
66,6,117,117,0,16,"2,421","3,959","6,858","19,854","32,291"
67,3,120,126,1,12,"4,447","9,132","10,564","20,058","31,558"
68,7,127,127,1,17,"1,734.2","2,319.5","4,597","11,185.5","17,151.8"
69,1,128,128,0,3,"2,662.6","3,939.5","13,299.5","27,700","46,344.5"
70,4,132,132,1,15,"2,219","4,246","10,881.5","23,607","35,796.1"
71,1,133,133,1,6,"1,754","3,528","9,563.5","17,546","32,380"
72,1,134,139,1,20,"3,791.1","5,617.5","7,268.5","12,248","26,465.9"
73,6,140,140,0,10,"1,990.2","2,776","3,330","8,732","22,190.6"
74,5,145,145,0,23,"1,539.8","2,483","3,715","9,791","17,219.4"
75,1,146,146,0,13,"1,690","2,960","3,417","4,081","10,464.2"
76,11,157,157,0,26,"3,237.2","4,369","4,952","6,071","17,533.2"
77,2,159,159,0,14,"1,647.4","3,165","4,188","5,669","17,776.4"
78,2,161,161,0,17,"3,044.4","3,856","4,336.5","6,385","37,605.6"
79,1,162,162,0,22,"2,998.1","4,388","5,240.5","8,874","19,361.3"
80,1,163,163,0,11,"3,753","4,426","6,338","23,370","39,876"
81,1,164,164,1,18,"2,784","4,847","6,513","12,743","42,096"
82,1,165,165,0,7,"1,607","3,207","3,839","7,873","37,371"
83,1,166,166,0,24,"3,057","5,600","7,711.5","12,468","27,158.3"
84,1,167,167,0,35,"1,884.4","2,928","5,220","8,990","21,872.2"
85,1,168,168,0,11,"6,980","8,797","10,293.5","18,109","44,948"
86,1,169,169,1,32,"1,660","2,990","7,730.5","17,244","24,737"
87,1,170,170,1,9,"3,178","4,875","7,392.5","14,369","18,306"
88,1,171,171,0,8,"2,184","3,754","7,328.5","11,759","40,251"
89,1,172,172,1,24,"2,156","3,783","5,258.5","7,620","18,287"
90,1,173,173,0,14,"2,462.4","3,848","4,911","10,073","26,328.4"
91,1,174,174,0,19,"2,019","2,634","3,683.5","7,260","24,263"
92,1,175,175,0,18,"2,287","3,703","3,994","9,060","33,147.7"
93,1,176,176,0,19,"3,264","4,754","8,072","29,721","57,659"
94,1,177,177,1,16,"2,598","4,714","9,039","18,269","62,201"
95,3,180,180,0,23,"5,093.9","7,237.5","8,793.5","31,118","61,977.3"
96,5,185,187,1,22,"2,558","4,467","8,736","16,101","67,601"
97,10,195,196,0,17,"6,898.2","8,276","10,650","28,041","95,157.4"
98,5,200,200,0,23,"4,456.7","6,098","10,557","28,650","97,814.6"
99,9,209,209,0,19,"2,345.4","5,075","6,536","18,495","123,311"
100,330,539,539,0,62,"9,146","14,977","81,607","99,778","139,926"
101,93,632,739,1,36,"3,297","9,770","54,737.5","81,270","149,776"
102,586,878,"1,274",1,42,"8,416","14,790","32,880","82,648","196,665"
103,89,"1,307","1,460",1,51,"19,090.2","22,842.5","27,387.5","60,424","159,436.4"
104,1000,"2,307","2,307",0,41,"13,334.6","18,850","26,201","46,333","135,217"
105,3,"2,310","2,310",0,39,"43,734.4","48,240","53,711","73,875","164,851"
106,3447,"5,504","6,673",0,65,"22,352.8","29,823.5","35,466","58,974","109,899.5"
107,725,"6,482","6,774",0,57,"12,198","20,771","42,056.5","119,045","150,044"
108,4475,"7,938","10,957",2,94,"20,557","31,204","50,478","63,943","190,520"
109,3707,"14,229","14,664",1,27,"30,537.2","66,976","161,631","226,980","282,036"
110,836,"15,500","19,274",3,98,"20,017.2","68,904","119,880","163,210","235,111.1"
111,6479,"21,158","21,979",1,42,"13,535","42,807","91,384","120,163","204,792"
112,5200,"25,628","27,179",2,47,"16,250","31,219","51,914.5","90,289","203,271.5"
113,1570,"28,749","28,749",0,28,"16,845.2","45,997","58,481","80,029","215,695.6"
114,607,"29,356","29,356",0,57,"7,494.4","12,116","22,249","31,904","176,926.4"
115,1867,"31,223","31,223",0,16,"10,090","12,774","16,806","23,037","178,273"
116,2413,"33,636","33,636",0,21,"5,346.4","8,484","15,910","21,845","168,377.4"
117,3508,"37,144","37,144",0,25,"6,718.2","11,193","13,180","18,805","174,009.6"
118,2606,"39,750","39,750",0,28,"5,101","8,370","12,698","24,928","160,472.6"
119,3751,"43,501","43,501",0,7,"6,060.2","12,868","90,395","101,030","165,422"
120,1294,"44,795","46,890",1,35,"10,141","16,358","58,249.5","70,465","138,988.2"
121,11080,"46,913","55,875",0,50,"10,904","13,895","24,098","35,062","223,606"
122,6404,"62,279","65,572",1,36,"10,450","14,140","17,039","39,511","204,406"
123,1689,"63,968","65,144",0,20,"5,692","9,898","10,742","27,390","192,007"
124,3320,"67,288","67,288",0,14,"3,068.9","4,403","9,645.5","32,511","712,179"
125,397,"67,685","67,685",0,8,"3,019.4","4,168","6,947","26,564","314,353.8"
126,2802,"70,487","70,983",0,16,"3,352.8","5,021","9,154","19,925","311,681"
127,4785,"75,272","75,272",0,23,"8,394","10,985","11,922","23,355","196,403"
128,4373,"78,045","79,645",0,15,"2,749","6,898","11,796","21,781","187,186"
129,3345,"82,990","82,990",0,14,"4,109","10,638","13,848","20,548","179,860"
130,6360,"89,350","89,350",0,17,"6,011","8,761.5","14,116","33,283","167,933"
131,10286,"92,108","99,636",0,42,"12,376","15,513","17,418","23,838","137,128"
132,7981,"107,617","107,617",0,25,"4,184.2","6,487","8,224","15,698","231,814.8"
133,4256,"111,873","111,873",0,15,"9,525","11,201","14,409.5","34,064","287,584.4"
134,4057,"115,930","115,930",0,35,"2,944.6","3,763","9,089","71,223","555,943.6"
135,15285,"131,215","131,215",0,24,"13,137.5","14,561","20,854","71,460.5","537,092.3"
136,13057,"144,272","147,967",0,52,"13,339","15,240","23,220","206,447","489,073"
137,1230,"145,502","156,527",1,59,"27,716","57,933","75,650","267,988","436,015"
138,6556,"152,058","186,956",1,66,"21,540.2","103,346","106,893","247,337","377,780"
139,31926,"183,984","183,984",0,113,"29,285.9","55,415.5","113,609","181,474","403,895.3"
140,69923,"253,907","253,907",0,55,"79,952","149,078","216,500","349,854","731,202"
141,12857,"264,474","266,764",1,167,"14,164","55,932","150,878","187,319","570,153"
142,5624,"272,388","289,134",1,57,"5,969","93,572","106,324","174,570","690,540"
143,10189,"282,577","282,577",0,78,"29,901","55,002","192,938","347,161","984,628.8"
144,57169,"299,039","339,746",1,75,"14,952","81,634","246,231","319,023","760,977"
145,69782,"365,944","409,528",1,98,"15,737","80,601","173,589","275,240","1,211,936.2"
146,2498,"412,026","447,384",0,65,"10,412.7","117,694","191,788.5","302,787.5","1,516,897"
147,47842,"459,868","459,868",0,114,"14,442.4","100,803","166,832","363,713","1,331,811.1"
148,65970,"518,076","525,838",2,137,"13,668","85,538","158,339","211,479","975,427"
149,17659,"543,497","543,497",0,140,"40,500","128,830","298,180","506,187","879,769"
150,46663,"572,369","590,160",2,99,"11,808","102,623","300,696","426,341","797,364"
151,48435,"594,800","638,595",1,68,"17,588","136,734","320,093.5","426,494","795,248"
152,53200,"665,368","722,462",2,121,"13,078.2","132,998","239,552","381,389","972,153"
153,23790,"715,585","715,585",0,96,"56,766","156,396","316,529","619,624","966,213"
154,30232,"745,817","797,407",1,185,"20,974.6","87,757","291,709","500,192","1,182,447"
155,99813,"844,743","848,337",2,105,"20,698","142,641","348,725","439,961","1,055,233"
156,41758,"887,388","933,215",1,228,"25,020","150,603","203,000","245,506","1,666,303.8"
157,73574,"960,962","960,962",0,87,"44,829.3","139,457","181,088","275,971","2,644,031"
158,46271,"1,007,233","1,007,233",0,162,"29,158.2","71,783","150,254","440,798","2,405,541.4"
