BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,104122.40000000001,263795,403258,575428,640839.5999999999
1,1,2,2,0,40,72874.80000000002,224614,364584,536639,603084.6
2,1,3,3,0,13,65569.00000000001,211899,351857,524215,590470.7999999999
3,1,4,4,0,4,63472.40000000001,208232,348199,520787,586861.3999999999
4,1,5,5,0,14,55320.40000000001,194663,334475,507205,573207.6
5,3,8,8,0,20,43735.600000000006,174947,314793,487756,553563.3999999999
6,1,9,9,0,12,35867.40000000001,163290,303124,476257,542142.8
7,1,10,10,0,5,33909.00000000001,158557,298425,471924,537677
8,1,11,11,0,12,26641.400000000005,146866,286676,460625,526247.6
9,1,12,12,0,24,12326.600000000002,123167,263077,437035,502775.39999999997
10,1,13,13,0,10,6676.200000000001,113633,253420,427677,493435.6
11,1,14,14,0,12,1300.4,101909,241742,416625,481813.8
12,1,15,15,0,22,1018,80193,220022,394967,460204.6
13,1,16,16,0,3,1348.8,77527,217281,392268,457584
14,1,17,17,0,2,1528.0000000000002,75836,215591,390677,455935.99999999994
15,1,18,18,0,33,1813.2000000000003,43112,182980,358111,423375.39999999997
16,1,19,19,0,9,4267.6,34596,174406,349865,414937.79999999993
17,1,20,20,0,7,2361.6000000000004,28330,167957,343574,408668.6
18,1,21,21,0,17,2929.4,11681,151455,327273,392146
19,1,22,22,0,6,1677.8,6073,145747,322317,386591.79999999993
20,1,23,23,0,6,1818,2468,140390,316889,381037.39999999997
21,1,24,24,0,7,1699.6,2111,134530,310381,374477
22,1,25,25,0,25,1765.6,2503,109831,286074,349954.6
23,1,26,26,0,4,1039.8000000000002,1883,106213,282900,346461
24,1,27,27,0,8,1449.8000000000002,2078,98488,275612,338935.79999999993
25,1,28,28,0,8,1560.8,1924,90764,268156,331646.79999999993
26,1,29,29,0,23,1176.6000000000001,1662,68074,245984,309234.6
27,1,30,30,0,10,1202,1816,58374,236651,300209.19999999995
28,1,31,31,0,20,1983,2432,38831,217398,280698.6
29,1,32,32,0,11,3674.6000000000004,4283,28140,207493,270883.19999999995
30,1,33,33,0,10,3641.8,4038,18475,198200,261364.39999999997
31,1,34,34,0,18,1716.6000000000001,2233,2976,180626,243908.59999999998
32,1,35,35,0,21,1468.8000000000002,1903,2125,160086,223703.19999999995
33,1,36,36,0,23,3781.8,4517,5879,137862,201477.99999999994
34,1,37,37,0,9,2558.8,3312,5178,129268,193235.79999999993
35,1,38,38,0,19,1798.8000000000002,2864,3721,110702,175027.79999999996
36,1,39,39,0,8,1800,2565,3730,103845,167713.59999999995
37,1,40,40,0,18,848.6,1405,2152,86754,150516.79999999993
38,1,41,41,0,52,870.6,1476,1805,35551,99453.79999999994
39,1,42,42,0,20,1643.4,2069,2547,16219,79783.19999999995
40,1,43,43,0,7,909.8000000000001,1581,2001,9617,73173.59999999995
41,1,44,44,0,25,1176,1707,2092,2697,48592.799999999945
42,1,45,45,0,5,4466.4,4832,5053,5221,43995.199999999946
43,1,46,46,0,5,5222.6,5673,5992,6291,39751.39999999995
44,1,47,47,0,7,1346,1903,2306,2697,33677.39999999994
