BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"454,210","511,261","580,493","717,554","805,675"
1,1,2,2,0,36,"419,383","480,013","547,474","684,089","771,818"
2,1,3,3,0,9,"410,758","473,590","542,960","675,924","764,402"
3,3,6,6,0,99,"312,183","376,190","445,904","578,033","666,635"
4,1,7,7,0,100,"212,725","280,708","348,179","479,490","567,536"
5,1,8,8,0,106,"107,042","176,607","243,105","374,574","462,587"
6,1,9,9,0,87,"7,367.6","18,569","108,808","192,287","361,521.2"
7,1,10,10,0,85,"6,522.8","7,197","24,061","107,811","277,681.8"
8,1,11,11,0,38,"10,764.4","11,244","16,098","70,161","240,865.4"
9,1,12,12,0,39,"2,808.6","3,604","4,165","31,524","203,375.6"
10,1,13,13,0,80,"3,934.6","4,523","5,170","8,276","124,898"
11,1,14,14,0,80,"2,868","3,463","3,543","5,198","46,739.2"
12,1,15,15,0,55,"5,160.8","5,601","6,046","8,859","14,127.8"
13,1,16,16,0,60,"3,407","3,753","4,079","7,893","23,284.2"
14,1,17,17,0,47,"3,263.4","3,972","5,650","11,048","27,895.4"
15,1,18,18,0,95,"5,552.2","6,083","8,012","12,206","18,917.6"
16,1,19,19,0,70,"4,580","5,265","8,156","10,910","29,339"
17,1,20,20,0,77,"3,207.4","3,798","6,628","9,679","23,774.4"
18,1,21,21,0,35,"2,378","3,120","9,207","15,949","18,233.8"
19,1,22,22,0,37,"2,019","2,607","3,487","12,682","17,510.4"
20,1,23,23,0,112,"5,637.2","6,011","6,520","14,052","35,335.4"
21,1,24,24,0,30,"14,110.4","14,981","15,217","25,465","35,737.6"
22,1,25,25,0,99,"3,858.6","4,750","6,916","12,344","20,025.4"
23,1,26,26,0,23,"2,303.6","3,583","5,613","14,365","39,752.2"
24,1,27,27,0,84,"2,666","3,103","8,004","13,994","32,812.6"
25,1,28,28,0,66,"1,549.2","2,349","3,750","9,133","17,236"
26,1,29,29,0,75,"21,543.2","22,075","22,894","26,787","38,656.2"
27,1,30,30,0,36,"4,025.8","4,860","6,077","12,851","23,026.8"
28,41,71,71,0,139,"5,876.8","6,371","6,885","8,932","16,214.8"
29,1,72,72,0,20,"2,490.6","3,570","3,867","8,889","19,308.6"
30,1,73,73,0,21,"3,462.1","3,906","4,467.5","8,098","42,658.3"
31,35,108,108,0,91,"3,819.8","4,647","7,266","17,114","55,503.4"
32,1,109,109,0,6,"1,778.6","2,515","6,348","19,499","59,598.7"
33,1,110,110,0,99,"1,411.4","2,882","5,907","12,376","23,747.4"
34,1,111,111,0,14,"7,119","8,594","20,881","196,710","200,920"
35,12,123,123,1,103,"1,728.1","4,599","21,841","94,943","154,867.8"
36,12,134,135,0,92,"1,173","1,485","3,245.5","5,342","32,241"
37,182,317,317,0,61,"1,625.7","2,098","4,642.5","8,842","57,490.5"
38,821,918,"1,138",0,77,"1,108.2","1,608","5,681.5","10,201","29,130"
39,64,"1,202","1,202",0,6,"1,337.8","1,790","3,236","6,898","30,234"
40,1699,"2,901","2,901",0,92,"2,222.2","2,910","7,124","14,271","32,517.6"
41,33,"2,934","2,934",0,19,"17,576.4","18,750","19,495","25,917","39,178.4"
42,7821,"10,755","10,755",0,105,"3,486.4","4,842","10,852","15,255","21,799.8"
43,509,"11,264","11,264",0,30,"6,117.2","7,556","7,919","17,778","21,645.8"
44,10369,"21,633","21,633",0,99,"4,206.6","6,176","10,418","15,932","34,787.2"
45,8267,"29,900","29,900",0,63,"4,592","5,938","20,973","27,248","164,671"
46,647,"30,508","30,547",1,27,"12,229.1","15,057","23,436","161,907","187,269.8"
47,23493,"52,738","57,842",2,111,"5,837.7","19,809","42,692","62,413","87,234.2"
48,5589,"59,629","59,629",0,30,"6,941","43,945","191,363","236,683","633,735"
49,26371,"63,764","87,595",3,101,"7,000","26,276","103,419","168,953","613,970"
50,21408,"79,372","113,202",3,60,"7,719","45,356","53,714","150,719","576,170"
51,4862,"79,733","112,270",1,52,"9,530","16,920","73,423","307,108","691,688"
52,17196,"80,629","129,466",1,77,"9,832","11,835","33,789","205,418","631,630"
53,12027,"80,630","141,493",1,27,"10,807","56,398","314,705","410,187","558,594"
54,33616,"80,713","175,109",9,140,"10,347.5","58,991","218,776.5","308,908","414,089.7"
55,27319,"169,303","202,428",7,22,"8,250","134,266","205,477","302,172","403,726"
56,3872,"183,411","222,689",4,65,"12,973.8","102,716","180,032","261,334","362,683"
57,31431,"226,362","237,731",2,94,"7,627","98,097","153,852","217,538","370,232.2"
58,12258,"249,989","249,989",0,50,"7,686","132,009","169,841","215,748","361,853"
59,20313,"270,302","273,112",1,109,"13,565.4","30,833","67,786","112,250","277,566"
60,11120,"271,103","281,422",1,42,"18,843","74,462","316,480","511,918","736,064"
61,33615,"289,425","315,038",9,150,"14,656","61,526","185,120","356,202","574,373"
62,16053,"331,090","348,652",1,151,"32,490.3","128,453","230,780","339,902","515,257.1"
63,12035,"343,125","364,705",1,153,"9,681","31,670","87,631","249,461","372,599"
64,5086,"348,211","348,211",0,89,"15,398","27,003","91,194","225,111","318,953"
65,30301,"378,512","381,827",0,59,"12,414","93,841","157,320","248,075","625,758"
66,30215,"408,727","412,127",1,123,"44,887.1","87,277","133,617.5","362,289","1,042,245.9"
67,33615,"442,342","445,742",1,131,"25,813.8","83,362","136,727","484,977","1,549,101.6"
68,33615,"475,956","475,957",1,90,"33,320","167,713","457,442","873,553","1,310,057"
69,19542,"495,499","509,572",2,90,"50,431.6","482,959","836,741","1,228,582","1,623,638"
70,33615,"522,841","529,114",3,412,"42,874","246,626.5","650,901.5","917,546.5","1,255,577"
71,33615,"562,729","562,730",1,295,"120,985","328,152","612,864","1,478,760","2,106,187"
72,33615,"596,344","596,345",2,411,"128,703.5","396,357.5","972,396.5","1,248,611.5","1,733,550"
73,33615,"629,959","629,960",1,215,"11,361.6","99,693","854,907","1,072,764","1,665,619.8"
74,33616,"663,574","663,575",1,316,"13,354.1","328,897","655,027.5","903,012","1,635,968"
75,33615,"697,190","697,190",0,259,"24,950","256,752","577,351","947,989","1,415,115"
76,33615,"730,805","730,805",0,402,"69,944","218,992","441,618","1,096,136","2,255,720.2"
77,33615,"764,419","764,420",1,375,"62,300","181,388","277,829","1,095,928","1,922,685"
78,33615,"798,034","798,035",1,188,"31,712","193,449","551,883","828,535","1,725,346"
79,33615,"831,649","831,651",1,217,"67,696","189,568","397,429","710,042","1,606,468"
80,33615,"865,265","865,266",1,155,"25,171","301,301","527,050","1,214,828","2,492,645"
81,33615,"898,880","898,881",0,199,"22,880","231,755","492,617","817,757","2,896,780"
82,33616,"932,495","932,496",1,149,"29,048","204,968","447,730.5","824,570","3,281,218"
83,33615,"966,111","966,111",0,332,"88,098","203,708","488,533","855,830","3,399,272"
84,33615,"999,726","999,727",0,451,"41,604","130,656","292,900","657,631","3,668,320"
85,33615,"1,033,341","1,033,342",0,291,"336,047","473,294","703,622","1,306,934","4,012,346"
86,33615,"1,066,956","1,066,956",1,502,"72,851","317,174","707,721","1,163,003","3,530,766"
87,33614,"1,100,570","1,100,571",1,264,"24,648","462,937","983,247.5","1,648,352","3,323,236.6"
88,33615,"1,134,185","1,134,185",2,523,"35,645","275,798","1,134,805","2,138,418","4,001,867"
89,33615,"1,167,800","1,167,800",1,590,"35,070","411,519","1,113,305","1,926,392","3,530,347"
90,33615,"1,201,415","1,201,415",2,593,"77,439.2","139,090","958,581","1,405,137","3,186,586.8"
91,33615,"1,235,030","1,235,030",0,624,"29,364","393,906","764,125","2,433,763","9,065,538"
92,33614,"1,268,644","1,268,645",0,579,"134,876","488,332","628,625.5","2,176,443","4,257,317"
93,33615,"1,302,259","1,302,260",1,617,"37,535","225,092","387,447","1,645,613","5,255,765"
94,33615,"1,335,874","1,335,875",0,372,"76,938","314,260","480,885.5","2,993,218","5,497,181"
95,33615,"1,369,489","1,369,489",0,775,"158,910","596,399","678,422","989,499","5,230,196"
96,33615,"1,403,104","1,403,105",0,721,"165,753","467,051","581,581.5","854,243","4,689,224"
97,33615,"1,436,719","1,436,719",0,615,"144,472","185,609","317,482","1,561,403","4,259,467"
98,33615,"1,470,334","1,470,334",0,257,"89,922","305,206","760,962","1,621,838","4,240,211"
99,33616,"1,503,950","1,503,950",1,365,"139,234","250,057","672,473","1,508,681","5,018,505"
100,33615,"1,537,565","1,537,565",0,429,"148,400.4","2,109,633","4,393,199","7,532,262","12,423,872"
101,33615,"1,571,180","1,571,180",1,958,"148,304","2,227,093","3,863,218.75","6,488,171","11,354,090"
102,33615,"1,604,795","1,604,796",1,753,"170,210","2,106,003","3,718,956","6,083,697","10,752,316"
103,33615,"1,638,410","1,638,411",2,763,"236,440.2","1,641,021","3,079,620","5,347,176","10,003,551"
104,33614,"1,672,024","1,672,026",1,1584,"400,106","1,788,936","3,449,981","5,416,243","8,851,072"
105,33615,"1,705,639","1,705,641",1,508,"108,263.9","2,276,876","3,415,022","4,909,438","9,486,737.7"
106,33614,"1,738,060","1,739,256",1,930,"170,126.8","2,077,931","2,950,323","5,795,010","8,946,118.6"
107,33615,"1,772,868","1,772,868",0,2525,"139,301","655,336","2,122,896","3,706,935","12,646,046"
108,33615,"1,806,483","1,806,483",1,496,"107,750.2","545,994","1,835,965","3,226,437.5","11,726,569"
109,33616,"1,840,098","1,840,099",2,652,"30,265","559,734","1,893,763","3,692,922","11,449,175"
110,33615,"1,871,931","1,873,714",0,1239,"56,837","763,312.5","1,573,076.5","3,270,096","11,170,400"
111,33616,"1,907,329","1,907,330",0,862,"143,683.6","598,112","2,050,264","2,897,387","10,538,529.6"
112,33614,"1,940,944","1,940,945",1,1729,"116,863","293,968","898,208.5","2,202,464","9,269,754.5"
113,33615,"1,974,558","1,974,559",1,478,"36,166","274,040","395,947","2,678,863","8,403,116"
114,33614,"2,008,173","2,008,173",0,748,"18,958","112,993","230,648.5","2,058,482","7,730,978"
115,33615,"2,041,788","2,041,788",0,153,"76,034","148,139","389,077.5","2,977,197","7,690,856"
116,33615,"2,075,402","2,075,403",0,183,"83,708","138,533","333,373","2,866,582","7,545,179"
117,33615,"2,109,018","2,109,018",0,436,"99,562","364,146","400,319","2,491,919","7,136,313"
118,33616,"2,142,634","2,142,634",0,781,"258,029","745,245","806,929","2,145,100","6,420,860"
119,33615,"2,176,249","2,176,249",0,880,"108,017","269,541","334,960","521,741","5,593,677"
120,33615,"2,209,864","2,209,864",0,642,"318,383","376,343","403,417","591,332","4,986,323"
121,33615,"2,243,479","2,243,479",0,363,"11,690","80,272","216,757","620,480","4,655,036"
122,33615,"2,277,094","2,277,094",0,704,"61,557","100,781","147,653","1,335,686","4,088,739"
123,33615,"2,310,709","2,310,709",1,858,"80,769","124,657","206,120","832,385","3,313,805"
124,33615,"2,344,324","2,344,325",0,513,"100,877","271,105","306,424","396,139","2,888,631"
125,33616,"2,377,940","2,377,940",0,345,"24,867","55,415","96,255","208,184","2,619,964"
126,4671,"2,382,611","2,382,611",0,224,"23,188","30,745","33,363","64,789","2,429,339"
127,1,"2,382,612","2,382,612",0,37,"5,926","6,604","21,774","48,654","2,395,711"
128,1,"2,382,613","2,382,613",0,22,"19,016","20,013","39,989","121,761","2,375,520"
129,2,"2,382,615","2,382,615",1,83,"31,149.6","32,970","41,420","112,949","2,019,592"
130,1,"2,382,616","2,382,616",1,84,"1,351","1,667","19,507","48,284","2,215,140"
131,1,"2,382,617","2,382,617",0,28,"1,002","1,265","20,520.5","36,966","2,189,329"
132,1,"2,382,618","2,382,618",0,46,"1,049","1,882","18,169","23,611","2,154,353"
133,3,"2,382,621","2,382,621",0,3,"1,315","1,489","17,749","38,902","2,153,279"
134,2,"2,382,623","2,382,623",0,33,"1,300","1,568","5,692","29,690","2,121,159"
135,1,"2,382,624","2,382,624",0,45,"20,123","20,265","21,092","45,716","2,077,233"
136,7,"2,382,631","2,382,631",0,125,"15,002","15,601","17,148","27,770","1,953,000"
137,2,"2,382,633","2,382,633",0,93,"1,838","2,481","15,476","22,141","1,862,857"
138,1,"2,382,634","2,382,634",0,90,517,"1,248","14,165","34,239","1,775,058"
139,3,"2,382,637","2,382,637",0,57,"19,490","20,179","20,547","58,021","1,719,772"
140,1,"2,382,638","2,382,638",0,63,"11,070","11,630","11,962","20,394","1,665,296"
141,2,"2,382,640","2,382,640",0,42,"29,096","30,047","30,179","37,862","1,626,690"
142,1,"2,382,641","2,382,641",0,43,"14,514","15,253","15,369","22,341","1,593,292"
143,1,"2,382,642","2,382,642",0,19,"5,184","6,939","7,130","14,473","1,575,694"
144,1,"2,382,643","2,382,643",0,95,"1,744","2,202","3,402","17,536","1,483,916"
145,2,"2,382,645","2,382,645",0,17,"1,896","2,040","8,912","22,722","1,472,094"
146,1,"2,382,646","2,382,646",0,136,"1,975","2,286","7,947","13,859","1,348,073"
147,1,"2,382,647","2,382,647",0,37,"1,462","1,715","16,861","28,807","1,312,613"
148,1,"2,382,648","2,382,648",0,88,"1,381","1,530","8,838","12,792","1,227,775"
149,7,"2,382,655","2,382,655",0,73,"2,598.3","3,438.5","4,402","5,879","1,158,049"
150,1,"2,382,656","2,382,656",0,30,"16,506.8","17,340.5","17,884.5","31,915.5","1,135,298"
151,4,"2,382,660","2,382,660",0,79,"1,714","2,735","4,891","73,214","1,059,653"
152,4,"2,382,664","2,382,664",1,61,"6,002.2","6,736","8,274","110,102","915,091.1"
153,5,"2,382,669","2,382,669",1,89,"1,192","1,504","14,165","25,903","912,755"
154,1,"2,382,670","2,382,670",0,26,"2,977.2","3,665","4,432","8,892","889,176"
155,4,"2,382,674","2,382,674",0,95,"1,845","2,365.5","3,653","6,854.5","795,085"
156,1,"2,382,675","2,382,675",0,12,"8,478.6","9,313.5","10,409","12,015","783,920"
157,3,"2,382,678","2,382,678",0,79,"5,011.8","5,249.5","8,855.5","13,091.5","706,088"
158,7,"2,382,685","2,382,685",0,76,"1,833.1","2,342","2,608","3,525","631,165"
159,1,"2,382,686","2,382,686",0,4,"5,396.8","6,149.5","6,438","7,340.5","628,585"
160,10,"2,382,696","2,382,696",0,104,339,"1,150","2,413.5","3,462","525,553"
161,21,"2,382,717","2,382,717",0,64,"1,485.4","1,868","9,947.5","15,095","462,860"
162,5,"2,382,722","2,382,722",0,73,"6,459","8,046.5","9,188.5","27,346","390,944"
163,16,"2,382,738","2,382,738",0,69,"1,696.1","1,966.5","3,113.5","4,693.5","323,372"
164,5,"2,382,743","2,382,743",0,60,"1,624","3,228","97,260","128,349","132,667"
165,18,"2,382,761","2,382,761",1,95,"1,444","2,406","7,754","33,724","39,060"
166,1,"2,382,762","2,382,762",0,30,"2,219.6","2,648","3,913","7,199.5","148,328"
167,20,"2,382,782","2,382,782",0,72,"5,264.5","5,866","6,124","7,108.5","87,371"
168,8,"2,382,790","2,382,790",0,67,"2,354.9","3,117.5","3,499","4,149","21,848"
169,15,"2,382,805","2,382,805",0,52,991.6,"1,722","3,051","4,066","4,806.6"
170,4,"2,382,809","2,382,809",0,67,"3,267.6","3,628.5","9,033.5","13,425","15,653"
