BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,0,0,-1,0,0,0,0,0,0
1,1,0,0,0,10,0,0,0,0,0
2,1,0,0,0,7,0,0,0,0,0
3,1,0,0,0,22,0,0,0,0,0
4,3,0,0,0,43,0,0,0,0,0
5,1,0,0,0,20,0,0,0,0,0
6,1,0,0,0,22,0,0,0,0,0
7,1,0,0,0,10,0,0,0,0,0
8,1,0,0,0,40,0,0,0,0,0
9,1,0,0,0,7,0,0,0,0,0
10,1,0,0,0,10,0,0,0,0,0
11,1,0,0,0,12,0,0,0,0,0
12,1,0,0,0,20,0,0,0,0,0
13,1,0,0,0,10,0,0,0,0,0
14,1,0,0,0,24,0,0,0,0,0
15,1,0,0,0,19,0,0,0,0,0
16,1,0,0,0,16,0,0,0,0,0
17,1,0,0,0,15,0,0,0,0,0
18,1,0,0,0,8,0,0,0,0,0
19,1,0,0,0,20,0,0,0,0,0
20,1,0,0,0,30,0,0,0,0,0
21,1,0,0,0,5,0,0,0,0,0
22,1,0,0,0,34,0,0,0,0,0
23,1,0,0,0,9,0,0,0,0,0
24,1,0,0,0,27,0,0,0,0,0
25,1,0,0,0,14,0,0,0,0,0
26,1,0,0,0,4,0,0,0,0,0
27,1,0,0,0,16,0,0,0,0,0
28,1,0,0,0,26,0,0,0,0,0
29,1,0,0,0,14,0,0,0,0,0
30,1,0,0,0,7,0,0,0,0,0
31,1,0,0,0,17,0,0,0,0,0
32,1,0,0,0,18,0,0,0,0,0
33,1,0,0,0,16,0,0,0,0,0
34,1,0,0,0,43,0,0,0,0,0
35,1,0,0,0,4,0,0,0,0,0
36,1,0,0,0,16,0,0,0,0,0
37,1,0,0,0,8,0,0,0,0,0
38,1,0,0,0,14,0,0,0,0,0
39,1,0,0,0,21,0,0,0,0,0
40,1,0,0,0,37,0,0,0,0,0
41,1,0,0,0,3,0,0,0,0,0
42,1,0,0,0,15,0,0,0,0,0
43,1,0,0,0,23,0,0,0,0,0
44,1,0,0,0,4,0,0,0,0,0
45,1,0,0,0,20,0,0,0,0,0
46,1,0,0,0,13,0,0,0,0,0
47,1,0,0,0,28,0,0,0,0,0
48,1,0,0,0,2,0,0,0,0,0
49,1,0,0,0,30,0,0,0,0,0
50,1,0,0,0,57,0,0,0,0,0
51,1,0,0,0,11,0,0,0,0,0
52,1,0,0,0,7,0,0,0,0,0
53,1,0,0,0,2,0,0,0,0,0
54,1,0,0,0,10,0,0,0,0,0
55,1,0,0,0,4,0,0,0,0,0
56,1,0,0,0,24,0,0,0,0,0
57,1,60,60,0,15,"45,102","45,102","45,102","45,102","45,102"
58,1,61,61,0,32,"1,704.4","3,567","8,438","11,107","24,936.8"
59,1,62,62,0,4,"1,488.8","2,623","8,919","12,814","26,403.2"
60,23,85,85,0,623,"1,722.8","2,963","4,480","6,742","16,868.2"
61,3,88,88,0,5,"1,327.5","2,301.5","3,775.5","12,901.5","17,862.3"
62,1,89,89,0,7,"3,033","3,863","9,244","15,145","31,118"
63,3,90,92,0,5,"2,222","4,954","7,383.5","16,446","37,642"
64,3,95,95,0,8,"8,068.2","9,455","10,487","13,738","46,327.6"
65,1,96,96,0,10,"1,410.8","2,897","3,523","5,866","37,314.8"
66,1,97,97,0,5,"5,072","6,503","7,495","13,919","45,585"
67,8,104,118,0,19,"4,683","5,792","6,748","8,796","27,036"
68,15,120,120,0,11,"2,376.5","3,233","7,120","16,948.5","29,630.5"
69,1,121,122,0,14,"1,773.4","3,412.5","6,886","9,905.5","17,360"
70,3,124,124,0,9,"1,542.4","2,936","3,911","6,207","19,674.6"
71,3,127,127,0,12,"1,003.7","1,610","2,916.5","5,752","34,887.8"
72,1,128,128,0,9,"3,156.8","3,927","4,967.5","7,499","25,386.2"
73,8,136,136,0,28,"1,580.8","2,209","2,588.5","5,103","18,775.1"
74,4,140,140,0,14,"1,683.6","2,704","3,921","5,615","30,940.2"
75,13,153,153,0,28,"2,416","5,869","9,816","29,779","40,643"
76,5,156,158,0,26,"2,219","3,434","5,641","10,307","17,622"
77,1,159,159,0,8,"1,550.8","2,506","3,166","5,322","11,057"
78,2,161,161,0,25,"1,049","2,202","3,292","3,766","10,688.2"
79,1,162,162,0,9,"1,441","2,618","4,086","30,964","36,079"
80,1,163,163,0,9,"1,834","3,296","6,391","22,876","28,726"
81,1,164,164,0,19,"1,869","4,148","5,033","7,365","27,016.4"
82,1,165,165,0,24,"1,792.2","2,386","3,513","5,523","17,923"
83,1,166,166,0,16,"1,153.8","2,446","3,468","8,504","20,149.2"
84,1,167,167,0,14,"1,453","2,449","8,938","52,332","56,617"
85,1,168,168,0,27,"2,221.4","4,439","9,136.5","25,999","42,189.1"
86,1,169,169,0,20,"5,715","7,044","8,142","11,769","25,583.2"
87,1,170,170,0,17,"1,859.4","3,197","3,963","5,768","20,086.8"
88,1,171,171,0,13,"1,901.8","3,722","5,094","5,872","26,556.6"
89,1,172,172,0,10,"2,295.2","3,506","4,934","9,421","29,458.6"
90,1,173,173,0,18,"4,452","5,994","6,699","11,703","30,712.2"
91,1,174,174,0,15,"2,517.6","3,031","4,371.5","8,030","29,989.7"
92,1,175,175,0,22,"2,289","3,992","6,030","17,584","39,591"
93,5,180,181,0,20,"4,206","5,111","6,574","19,091","34,769"
94,3,183,183,0,19,"3,192.6","4,046","6,734","12,482","29,961.4"
95,6,189,189,0,21,"1,833.4","3,387","4,579","10,597","18,569.4"
96,1,190,190,0,12,"2,930","4,464","6,047","10,122","15,871.2"
97,1,191,191,0,7,"2,118","3,393","5,534","9,046","22,087.6"
98,1,192,192,0,6,"1,959.4","3,409","5,033","9,690","48,804"
99,10,202,202,0,36,"7,540.8","8,380","9,409","12,944","15,315.8"
100,22,224,224,0,23,"3,635","5,321","8,765","14,830","26,893"
101,18,237,242,0,10,"3,947","7,690","12,146","29,103","45,504"
102,16,258,279,0,18,"4,015","6,366","11,550","20,171","35,976"
