BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
182,21,2383064,2383064,0,48,1380.8000000000002,1539,1990,2378,7719.799999999933
183,13,2383077,2383077,0,53,1660,2448,2848,3613,10687.399999999949
184,19,2383096,2383096,0,68,1240.8000000000002,1389,2062,3088,10752.399999999963
185,22,2383118,2383118,0,76,3838,4239,4504,5597,7386.399999999995
186,19,2383137,2383137,0,73,1784.8000000000002,2040,2702,3958,6313.399999999981
187,12,2383149,2383149,0,47,635.2000000000002,804,1072,1651,2469.9999999999936
188,21,2383170,2383170,0,82,1049.4,1226,1660,2248,3157.1999999999916
189,21,2383191,2383191,0,41,733.0000000000001,913,1045,2251,5018.999999999997
190,21,2383212,2383212,0,71,1497.2,1664,2191,3228,7591.399999999996
191,21,2383233,2383233,0,57,1154.0000000000002,1357,1862,2477,4160.799999999997
192,3,2383236,2383236,0,70,1658.8000000000002,1815,2360,3387,6204.999999999982
193,39,2383275,2383275,0,74,1243.8000000000002,1523,2109,3176,4632.799999999997
194,1,2383276,2383276,0,50,675.6000000000001,939,1334,2322,2781.7999999999975
195,21,2383297,2383297,0,77,830.6000000000001,1006,1125,2041,2607.9999999999973
196,21,2383318,2383318,0,47,1787.2,2136,2437,2905,3714.399999999997
197,21,2383339,2383339,0,65,837.8000000000001,993,1392,2250,5280.799999999994
198,21,2383360,2383360,0,101,1311.8000000000002,1532,1897,2577,3516.199999999996
199,21,2383381,2383381,0,44,1417.6000000000001,1538,2444,3180,8752.199999999995
200,1,2383382,2383382,0,31,1445.4,1619,2024,2585,3675.3999999999974
201,26,2383408,2383408,0,81,1127,1369,1895,2656,6881.999999999991
202,16,2383424,2383424,0,68,980,1471,1720,2546,3625.5999999999967
203,21,2383445,2383445,0,76,2134.4,2353,2811,3907,6958.399999999983
204,21,2383466,2383466,0,45,1501.2,1644,2071,2617,2991.5999999999967
205,21,2383487,2383487,0,63,1278.2000000000003,1518,2281,3241,5051.199999999997
206,21,2383508,2383508,0,59,2051,2228,2616,3421,4978.799999999997
207,21,2383529,2383529,0,80,1080.6000000000001,1276,2004,2570,4875.599999999989
208,1,2383530,2383530,0,13,1050.6000000000001,1229,1821,2390,3597.799999999999
209,21,2383551,2383551,0,108,1348.0000000000002,1635,2430,3297,4273.399999999995
