BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"196,961.4","598,829","1,005,113","1,339,338","1,511,748.8"
1,1,2,2,0,19,"179,070.8","580,673","987,048","1,331,878","1,493,815.8"
2,1,3,3,0,12,"172,298","568,957","975,324","1,320,428","1,482,286.2"
3,1,4,4,0,5,"169,083.6","564,191","970,575","1,316,095","1,477,951.6"
4,1,5,5,0,10,"163,441.8","554,425","960,817","1,306,818","1,468,454.4"
5,1,6,6,0,7,"159,295","547,843","954,110","1,300,205","1,461,923"
6,1,7,7,0,3,"157,603.4","545,158","951,344","1,297,983","1,459,471.2"
7,1,8,8,0,5,"154,860.4","540,426","946,578","1,293,482","1,455,000.4"
8,3,11,11,0,14,"147,150","526,752","932,863","1,279,841","1,441,482"
9,1,12,12,0,8,"142,517.8","519,144","925,139","1,272,258","1,433,953.8"
10,1,13,13,0,6,"138,844","513,445","919,373","1,266,726","1,428,434.8"
11,1,14,14,0,26,"123,126","487,721","893,599","1,242,210","1,402,867"
12,1,15,15,0,3,"121,497.6","485,172","890,891","1,240,111","1,400,310"
13,1,16,16,0,1,"121,286.2","484,446","890,259","1,239,745","1,399,751"
14,1,17,17,0,6,"117,562.4","478,705","884,493","1,234,213","1,394,191.8"
15,1,18,18,0,5,"114,748.2","473,964","879,702","1,229,630","1,389,762.8"
16,1,19,19,0,1,"114,589.6","473,248","878,920","1,229,047","1,389,148.6"
17,1,20,20,0,4,"112,306.8","469,457","875,271","1,225,481","1,385,784.8"
18,1,21,21,0,19,"100,995","450,683","856,488","1,206,940","1,367,300.6"
19,1,22,22,0,4,"98,674","446,972","853,022","1,203,692","1,363,826.2"
20,1,23,23,0,58,"64,117.4","389,308","795,415","1,146,409","1,306,307"
21,1,24,24,0,7,"60,420.4","382,592","788,732","1,140,123","1,299,909.4"
22,1,25,25,0,28,"43,475.8","354,985","760,983","1,112,574","1,272,624.2"
23,1,26,26,0,23,"29,654.8","332,319","738,201","1,089,976","1,250,200.2"
24,1,27,27,0,4,"27,577.6","328,711","734,427","1,086,276","1,246,900.8"
25,1,28,28,0,61,973.8,"268,177","673,636","1,025,627","1,186,891.6"
26,1,29,29,0,26,788.2,"242,461","647,938","999,936","1,161,648.4"
27,1,30,30,0,29,957.6,"213,871","619,189","971,519","1,133,686.4"
28,1,31,31,0,53,"1,050.6","161,113","566,552","919,254","1,081,508.6"
29,1,32,32,0,12,888.6,"149,398","554,802","908,890","1,070,321.6"
30,1,33,33,0,136,"1,262.6","13,640","419,045","773,397","935,569.6"
31,1,34,34,0,43,829.2,"1,983","376,363","730,791","893,558.8"
32,1,35,35,0,49,"1,077.8","1,433","327,747","682,158","845,304.4"
33,1,36,36,0,8,114.6,878,"320,132","674,784","838,155.4"
34,1,37,37,0,68,"1,370.4","1,941","252,441","607,401","770,598.2"
35,1,38,38,0,38,635.6,"1,289","214,734","569,786","733,204.6"
36,1,39,39,0,5,"1,577.8","2,138","210,056","565,637","729,274.2"
37,1,40,40,0,82,760.4,"1,147","128,311","484,530","647,837"
38,1,41,41,0,85,"5,398.6","5,778","43,620","400,297","563,427.2"
39,1,42,42,0,9,"4,295.6","4,693","34,846","392,331","555,536.8"
40,1,43,43,0,13,"1,292","1,836","22,097","379,824","543,195.8"
41,1,44,44,0,179,"14,773.8","15,076","15,649","201,208","365,178.2"
42,1,45,45,0,164,"12,262.2","12,680","13,978","37,742","201,780.6"
43,1,46,46,0,22,"2,570.2","3,086","3,589","16,593","180,293.8"
44,1,47,47,0,36,796.6,"1,198","1,374","1,807","145,635.2"
45,1,48,48,0,165,987.2,"1,523","1,761","3,903","19,279.4"
46,1,49,49,0,15,"1,443.6","1,931","2,131","2,739","39,556.8"
47,1,50,50,0,187,"1,358.8","1,769","1,968","3,251","12,746"
48,1,51,51,0,40,"1,296.2","1,575","1,942","2,763","15,185"
49,1,52,52,0,33,890.4,"1,198","1,447","2,254","8,592.8"
50,1,53,53,0,47,"1,345.4","1,613","1,734","4,225","6,426.8"
51,1,54,54,0,143,975.8,"1,255","1,556","2,566","8,697.2"
52,17,71,71,0,72,"1,396.2","1,829","1,927","5,360","13,516.4"
53,17,88,88,0,4,934.8,"1,300","1,517","1,924","20,892.4"
54,5,93,93,0,8,"1,166.4","1,823","2,290","4,174","22,583.2"
55,1,94,94,0,6,"1,042.8","1,510","1,932","6,007","26,746.4"
56,1,95,95,0,8,"1,429.2","1,787","2,305","3,558","28,755.2"
57,1,96,96,0,7,"1,682","2,039","2,413","4,653","32,552.4"
58,12,108,108,0,5,948.8,"1,490","1,634","2,232","41,012.2"
59,2,110,110,0,4,"1,285","1,518","6,774.5","12,264","65,765"
60,3,113,113,1,3,"1,545","1,847","7,084.5","9,850","67,935"
61,4,117,117,0,7,"1,471.6","1,922","2,467","4,927","63,389.6"
62,1,118,118,0,5,"1,084.4","1,472","1,650","2,194","66,141.4"
63,1,119,119,0,7,"1,908","2,787","2,906","5,358","68,103.4"
64,2,121,121,0,5,"1,284.4","1,792","2,384","5,490","73,352"
65,1,122,122,0,5,949.8,"1,260","1,488","1,786","77,224.4"
66,6,128,128,0,3,934,"1,488","1,741","2,254","81,358"
67,2,130,130,0,7,849.6,"1,479","1,756","1,963","80,757.8"
68,8,138,138,0,4,929.2,"1,718","1,910","4,571","83,302.6"
69,1,139,139,0,3,248.1,955,"1,226","4,501","78,694.7"
70,1,140,140,0,4,655.6,"1,181","1,682","3,836","76,255.2"
71,2,142,142,0,3,"1,351.8","1,666","2,095","2,926","82,161"
72,1,143,143,0,4,782.6,"1,192","1,507","1,837","79,041.2"
73,1,144,144,0,2,"1,562.6","1,892","2,249","2,562","77,363"
74,1,145,145,0,2,"3,510.3","3,772","4,391.5","5,552","71,715.7"
75,1,146,146,0,8,"1,494.4","1,949","2,470","10,913","59,273.8"
76,1,147,147,0,5,"1,313","1,921","2,367.5","21,076","43,649"
77,1,148,148,1,9,477,"1,282","2,047","12,715","38,400"
78,4,152,152,0,10,"1,027","1,262","1,903","9,807","66,138"
79,7,158,159,1,3,"1,497.6","1,813","2,706","8,674","68,499.8"
80,2,161,161,0,6,789,"1,342","1,772","4,976","71,420.2"
81,1,162,162,0,24,"1,844.8","2,240","2,422","4,260","53,134.2"
82,2,164,164,0,6,657.4,904,"1,084","2,097","51,763.8"
83,1,165,165,0,6,"1,361.4","1,794","1,951","3,122","49,477.2"
84,1,166,166,0,11,"1,954.6","2,322","2,604","3,327","45,922.4"
85,2,168,168,0,20,"1,442.8","1,759","2,176","3,527","32,911.2"
86,1,169,169,0,17,"1,003","1,328","1,739","2,166","29,833"
87,1,170,170,0,3,832.6,"1,087","1,166","2,030","37,726.8"
88,1,171,171,0,11,"1,613","1,796.5","2,364","79,241.5","93,392"
89,1,172,172,2,7,"1,427","1,965","2,396.5","72,618.5","86,701"
90,1,173,173,0,85,"1,033.8","1,642","1,889","2,040","13,742.6"
91,1,174,174,0,25,769.6,"1,062","1,291","1,621","2,149.8"
92,1,175,175,0,11,"1,387.6","1,661","1,898","2,241","13,331.8"
93,1,176,176,0,11,226.8,792,907,"1,050","7,914.8"
94,1,177,177,0,41,"1,448.8","1,868","2,165","2,372","6,787"
95,21,198,198,0,17,"4,552.2","5,202","5,408","5,789","15,519.4"
96,1,199,199,0,8,"5,388.6","5,881","6,245","6,420","16,850.2"
97,1,200,200,0,9,580,"1,017","1,257","1,442","15,828.6"
98,1,201,201,0,47,827,"1,368","1,537","1,769","11,261"
99,21,222,222,0,10,"1,375.2","1,725","1,980","2,932","11,271"
100,1,223,223,0,10,540.4,893,"1,348","1,577","8,709.6"
