BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"280,235.8","392,776","569,273","707,198","947,206.8"
1,1,2,2,0,33,"250,325.4","362,503","545,928","676,783","919,358.4"
2,1,3,3,0,18,"232,614.2","346,612","529,377","660,976","904,665"
3,3,6,6,0,37,"196,137.8","311,162","494,353","630,733","871,715.8"
4,1,7,7,0,21,"175,566.8","292,713","475,737","611,509","852,804"
5,1,8,8,0,28,"148,136.2","275,288","449,294","584,427","827,201.2"
6,1,9,9,0,33,"115,604","244,572","417,426","552,700","796,972.6"
7,1,10,10,0,10,"106,013.4","236,249","408,223","544,118","790,973.8"
8,1,11,11,0,7,"99,447.8","231,505","402,243","538,227","785,302.6"
9,1,12,12,0,26,"73,827.6","207,992","377,148","515,411","761,605.6"
10,1,13,13,0,21,"5,384.8","140,561","304,940","487,441","721,495.6"
11,1,14,14,0,16,"4,606.8","126,737","289,357","472,923","709,495.4"
12,1,15,15,0,16,"7,108.2","112,860","273,888","458,977","697,271.6"
13,1,16,16,0,12,"7,404.6","111,158","262,335","449,903","688,862.6"
14,1,17,17,0,8,"8,136.8","107,232","254,586","444,379","683,288.6"
15,1,18,18,0,24,"6,926.2","85,248","231,012","423,012","661,115.6"
16,1,19,19,0,15,"5,199.6","71,924","216,845","410,430","651,677"
17,1,20,20,0,8,"6,524.8","65,530","209,156","403,673","649,975.6"
18,1,21,21,0,27,"6,084.6","40,157","182,441","378,265","627,516.6"
19,1,22,22,0,16,"4,824.2","29,794","166,899","363,799","614,855.4"
20,1,23,23,0,25,"12,003.2","15,274","142,436","341,035","592,180.8"
21,1,24,24,0,31,"8,798.4","10,920","112,052","313,492","563,435.2"
22,1,25,25,0,21,"14,997","16,003","91,429","294,860","545,339"
23,1,26,26,0,37,"4,941","7,006","54,854","261,346","513,637.8"
24,1,27,27,0,26,"4,023.8","5,690","29,363","238,446","490,733"
25,1,28,28,0,6,"5,172","5,985","24,007","233,481","493,758.6"
26,1,29,29,0,12,"6,900","9,694","14,924","223,065","492,271.4"
27,1,30,30,0,12,"8,814.4","9,329","12,719","213,108","484,214"
28,1,31,31,0,12,"5,012","5,858","17,895","203,601","474,713.4"
29,1,32,32,0,11,"3,041.6","4,081","11,015","194,076","465,703.8"
30,1,33,33,0,49,"2,059.6","2,764","5,106","148,459","418,943"
31,1,34,34,0,37,"1,968.2","2,892","7,647","114,411","385,942"
32,1,35,35,0,8,"2,233.6","2,941","3,739","111,137","384,109.4"
33,1,36,36,0,2,"1,710.6","2,064","3,315","112,388","386,286.2"
34,1,37,37,0,11,"2,306","3,094","5,416","107,310","380,633.4"
35,1,38,38,0,8,"3,710.8","4,636","6,984","106,866","383,778"
36,1,39,39,0,30,"3,301.8","4,130","5,750","84,285","359,585.4"
37,1,40,40,0,5,"5,478","6,061","7,898","84,316","359,565.4"
38,1,41,41,0,14,"4,007.2","4,710","5,501","77,165","349,590"
39,1,42,42,0,15,"3,007.4","3,794","4,647","65,864","338,406.6"
40,1,43,43,0,27,"3,050.6","3,692","4,765","44,349","315,767.4"
41,1,44,44,0,11,"2,783.4","3,402","5,068","35,033","307,338"
42,1,45,45,0,9,"5,198","5,623","7,499","28,017","302,982.2"
43,1,46,46,0,24,"2,805","3,315","3,859","12,943","288,377.2"
44,1,47,47,0,27,"2,638.2","3,257","4,938","7,939","266,126.4"
45,1,48,48,0,12,697.8,"1,284","1,701","6,554","256,727"
46,1,49,49,0,12,"5,254.2","5,978","7,047","11,018","249,055.2"
47,1,50,50,0,26,"1,187.4","1,657","3,184","9,021","228,905.6"
48,1,51,51,0,8,"5,991.8","6,404","7,047","14,155","223,499.8"
49,1,52,52,0,13,"1,429.2","1,752","2,762","9,178","216,287.4"
50,1,53,53,0,9,"2,827","3,442","4,144","12,495","210,188.2"
51,1,54,54,0,30,"2,580.8","3,305","4,341","8,880","183,318.2"
52,1,55,55,0,21,"3,564.8","4,316","5,719","7,706","168,173"
53,1,56,56,0,8,"2,010.2","2,737","3,139","9,957","167,538"
54,1,57,57,0,19,"2,557.2","3,432","4,028","10,795","160,736.8"
55,1,58,58,0,14,"1,318.8","1,811","3,918","13,358","151,050"
56,1,59,59,0,14,"1,948.6","2,867","4,030","10,818","170,047.8"
57,1,60,60,0,18,"2,674.6","3,399","4,849","11,263","165,075.8"
58,1,61,61,0,15,"2,036.8","3,110","4,775","14,853","168,677.8"
59,1,62,62,0,37,"2,245.2","2,671","4,145","7,988","144,506.2"
60,13,75,75,0,736,"10,311.6","11,528","13,258","16,675","18,632"
61,23,98,98,0,26,"2,063","2,518","7,595","29,029","48,640"
62,5,103,103,1,9,"1,930","8,431","9,528","21,040","43,840"
63,3,106,106,0,18,"1,327","2,372","4,103","8,469","32,456.8"
64,1,107,107,0,19,"1,432.3","1,966","2,695","6,294","21,304.4"
65,1,108,108,0,4,"1,852","2,482","3,705","11,603","23,704.2"
66,8,116,116,0,15,"1,292.2","1,756","3,939","9,159","15,414"
67,1,117,117,0,8,"5,669.4","5,982","7,032","13,796","33,342"
68,7,122,124,1,21,635.8,"1,531","3,634.5","10,767.5","26,187"
69,8,129,132,0,18,"1,592.2","2,193","3,885","9,387","38,971.6"
70,10,135,142,0,18,"1,561.4","1,820","2,606","8,014","26,876.6"
71,1,143,143,0,11,"1,295.2","1,751","3,158","7,901","31,830.8"
72,1,144,147,0,19,"1,502.4","2,363","3,401.5","4,394","17,215.7"
73,12,156,156,0,27,"1,383.9","1,766","2,916","7,148","24,477.2"
74,1,157,157,0,10,"5,934.5","7,633.5","8,091.5","14,688.5","45,465.4"
75,1,158,158,1,15,"1,350.8","2,017","4,040","11,562","33,531.8"
76,1,159,159,0,21,"1,021.7","1,653","5,655","12,718.5","28,078.8"
77,1,160,160,1,16,"3,697.4","4,163.5","5,642.5","7,522","14,254.6"
78,1,161,161,0,22,"5,115.2","5,700","7,407","10,909","25,051.8"
79,1,162,162,0,13,"1,920.2","2,638","3,614","6,154","18,053.6"
80,1,163,163,0,19,"1,203.2","1,560","3,192","6,079","13,844.4"
81,1,164,164,0,14,"4,567.5","4,940","5,536","6,757","7,462.5"
82,1,165,165,0,26,"1,424.8","1,798","2,076","3,764","14,909.2"
83,1,166,166,0,6,"6,385.2","6,884","7,382","13,154","39,018.2"
84,1,167,167,0,19,666.8,"1,296","1,769","5,911","21,452.4"
85,1,168,168,0,12,"3,408.4","3,784","4,019","6,711","13,006"
86,1,169,169,0,27,"1,419.8","1,822","2,141","4,303","17,114.8"
87,3,172,172,0,21,"7,327.8","7,614","8,069","8,909","16,786"
88,19,191,191,0,23,"1,102.8","1,525","2,352","7,524","28,630.8"
89,1,192,192,0,14,781,"1,039","1,299","5,178","19,701.2"
90,1,193,193,0,17,"1,604","1,995","4,430","13,156","52,918"
91,3,194,196,2,33,"1,167","1,878","2,397","5,779","20,389"
92,8,204,204,0,15,"1,459.4","1,899","2,456","5,784","29,813"
93,1,205,205,0,7,"1,250","1,572","3,936","6,115","42,923.6"
94,1,206,206,0,13,727.5,"1,205","1,707.5","5,475","33,821.4"
95,10,216,229,0,13,"1,320.4","1,963","5,910","12,770","41,914"
96,83,242,299,0,15,"6,950.6","7,740","8,507","16,487","29,143.4"
97,256,555,555,0,19,997.4,"1,786","4,024","12,201","18,870"
98,301,856,856,0,25,"5,479.4","6,650","7,033","11,411","26,573.2"
99,208,"1,064","1,064",0,13,"5,836.2","6,061","8,709","14,555","62,888.3"
100,161,"1,225","1,305",1,22,"3,329.9","3,998.5","4,545.5","13,540.5","45,205"
101,413,"1,638","1,638",0,18,"1,610.6","2,281","5,065","10,190","33,471.6"
102,230,"1,868","1,868",0,15,"4,935.4","5,485","5,975","10,121","21,862.2"
103,109,"1,977","1,977",0,15,"1,543.4","2,037","2,359","7,136","13,327"
104,25,"2,002","2,002",0,8,"2,002.2","2,610","2,913","3,628","13,752.6"
105,456,"2,458","2,458",0,25,945.1,"1,576","5,113","8,435","25,155.8"
106,565,"2,530","3,023",0,15,"7,307.8","10,634","10,986","17,373","20,700.2"
107,986,"4,009","4,009",0,21,"1,679.8","2,387","3,299","6,936","15,796"
108,548,"4,557","4,557",0,11,952,"1,617","5,810","6,456","15,885.8"
109,26,"4,583","4,583",0,7,"8,195.6","9,203","9,902","13,894","26,259.4"
110,2032,"6,615","6,615",0,26,"2,138","2,875","5,420","9,200","15,391.4"
111,267,"6,882","6,882",0,10,"3,653.5","4,296","5,267","13,144","36,376.1"
112,2113,"8,020","8,995",0,32,"2,096.4","2,856","6,191","9,569","26,665.7"
113,65,"9,060","9,060",0,13,"3,672.2","4,506","5,161","11,084","23,789.6"
114,397,"9,457","9,457",0,17,"1,386.8","2,139","3,773","8,495","12,023.6"
115,814,"10,271","10,271",0,13,"1,552","5,889","63,952.5","84,078","106,912"
116,3735,"12,384","14,006",2,43,"3,316","18,278","36,562","53,227","91,651"
117,4256,"18,262","18,590",1,32,"5,411","23,669","48,006.5","56,436","90,065"
118,1025,"19,279","19,287",1,31,"2,321","8,202","25,429","49,214","74,733"
119,2263,"20,797","21,550",1,15,"3,057","3,854","15,100.5","41,215","51,127"
120,522,"22,072","22,072",0,43,"1,078.1","1,997","4,794","13,575","30,529.3"
121,1609,"23,046","23,681",0,10,"8,348.5","10,098","11,317","24,355","31,540.8"
122,2967,"26,648","26,648",0,18,"2,015.6","2,889","7,002","13,761","34,100.4"
123,1042,"27,690","27,690",0,10,"4,424","6,328","6,742","11,340","52,676"
124,5859,"33,549","33,549",0,19,"3,717.5","5,030","14,271.5","30,762","126,740.7"
125,5849,"33,973","39,398",0,31,"4,701","7,516","13,614","25,764","85,557"
126,7007,"42,883","46,405",0,40,"3,314.2","4,597","12,597.5","24,012","80,170.8"
127,4880,"51,285","51,285",0,12,"3,535","5,102","45,606","92,229","103,990"
128,203,"51,488","55,623",2,59,"5,025.5","11,373.5","24,930","42,206","98,414"
129,11607,"55,844","63,095",1,24,"5,291","10,946","30,327","81,218","163,977"
130,12236,"63,450","75,331",1,48,"12,801.3","24,289","27,099.5","54,855","148,938.2"
131,19192,"68,082","94,523",1,47,"8,007","10,344","53,273","114,409","125,615"
132,378,"94,901","103,937",2,34,"6,401.4","34,876","98,739.5","266,270.5","369,889.6"
133,17143,"112,044","119,005",1,56,"13,271","86,556","190,990","268,807","348,302"
134,25053,"113,023","137,097",4,63,"8,822","50,216","161,428","228,135","296,314"
135,517,"122,091","169,714",2,59,"5,924","67,821","106,457","179,342","250,442"
