BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
108,33616,1776208,1776208,0,139,56521,60466,168747,786095,2724648
109,33615,1809823,1809823,0,116,21573,71321,135737,704462,2703298
110,33615,1843438,1843438,0,136,50210,83209,168179,1087436,3113249
111,33615,1877053,1877053,1,307,71538,344712,367705,664194,3243236
112,33615,1910668,1910668,1,395,31288,37124,52148,202090,2883275
113,33615,1944283,1944283,0,270,188407,207943,236965.5,881892,2915003
114,33615,1977898,1977898,2,500,38082,85140,121363,321075,2135275.9999999953
115,33615,2011513,2011513,0,221,37530,111983,141408,362088,2594120
116,33615,2045128,2045128,0,152,7846,32100,60006,375749,2462266
117,33615,2078743,2078743,1,346,34368,80776,103022,248077,2472218
118,33615,2112358,2112359,0,120,9820,43080,81802.5,180548,2379948
119,33616,2145973,2145974,0,236,82976,109114,125031.5,170473,2187157
120,33615,2179589,2179589,0,138,32211,36546,62850,95810,2080887
121,33616,2213205,2213205,0,71,24894,26708,45523,185483,2026737
122,33616,2246820,2246821,0,59,26876,36068,39234,178783,1984539
123,33615,2280436,2280436,0,68,23108,25850,38785.5,185012,1931726
124,33615,2314051,2314051,0,139,18889,21593,37224,115453,1828308
125,33617,2347668,2347668,0,36,19572,22712,29016,140703,1820216
126,33616,2381284,2381284,0,97,13095,15354,23994,97889,1743032
127,1384,2382668,2382668,0,48,838,1791,2466,84408,1702389
128,16,2382684,2382684,0,303,30526,30650,31010,49598,1410295
129,3,2382687,2382687,0,70,1135,1194,1438,12395.5,1345298
130,1,2382688,2382688,0,19,15270,15427,15886,24771.5,1329708
131,3,2382691,2382691,0,72,10765,10862,11466,20184,1263008
132,10,2382701,2382701,0,71,13430,14005.5,14090,26211,1200172
133,11,2382712,2382712,0,69,287,779.5,1057,7676,1149603
134,1,2382713,2382713,0,41,19045,19464.5,20050,30532.5,1113198
135,1,2382714,2382714,0,29,1025,1591,1955.5,11518.5,1090351
136,1,2382715,2382715,0,17,11003,11993,12491.5,21833.5,1076005
137,1,2382716,2382716,0,129,1212,1263,1678,17374.5,948965
