BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"277,675.9","370,078","469,220.5","534,845","655,216.4"
1,1,2,2,0,16,"263,025.2","357,921","454,446","520,355","640,501.8"
2,1,3,3,0,8,"256,118.6","352,706","446,901","514,581","633,047.6"
3,3,6,6,0,38,"218,632.4","319,282","409,379.5","477,374","595,497.6"
4,1,7,7,0,84,"135,298","237,200","325,846.5","394,241","511,836.4"
5,1,8,8,0,42,"93,955.2","196,593","284,138.5","353,277","470,284.2"
6,1,9,9,0,82,"7,323.6","50,054","176,546","257,974","385,137.6"
7,1,10,10,0,107,"4,755.2","5,410","69,860","151,258","279,059.8"
8,1,11,11,0,67,"5,284.2","6,218","8,878","84,542","212,929.6"
9,1,12,12,0,74,"5,356.2","6,386","6,778","10,834","139,964.8"
10,1,13,13,0,75,"1,614.2","2,343","2,461","2,792","65,775.8"
11,1,14,14,0,81,"1,015","1,830","2,277","2,865","4,272.4"
12,1,15,15,0,41,"1,316.4","2,000","2,612","3,519","10,460"
13,1,16,16,0,61,"1,680.4","2,554","3,622","4,693","11,783.8"
14,1,17,17,0,60,790.8,"1,683","2,106","3,618","5,564"
15,1,18,18,0,51,893.4,"1,579","3,118","4,502","5,539.6"
16,1,19,19,0,48,"1,493.8","2,946","4,317","7,229","17,258.2"
17,1,20,20,0,126,"3,090.8","4,174","4,307","8,004","9,506.4"
18,1,21,21,0,20,"3,005.4","3,695","4,864","8,392","17,604"
19,1,22,22,0,84,"1,300.4","2,355","2,795","4,148","8,141.8"
20,1,23,23,0,55,"1,159.4","1,908","2,606","3,047","15,204"
21,11,34,34,0,27,"9,377","10,341","11,258","15,285","21,916.2"
22,36,70,70,0,75,"2,452.8","4,213","4,844","7,458","13,542.2"
23,1,71,71,0,25,"3,479.2","4,347","5,674","7,004","9,579.2"
24,23,94,94,0,60,"5,056.6","6,790","11,778.5","151,087","159,510.5"
25,1,95,95,1,87,"1,569.7","2,705.5","10,035.5","65,110.5","78,516.9"
