BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,1,0,"8,483","192,339","290,072","590,527","751,096"
1,1,2,2,1,10,"1,067","189,165","281,734","582,978","742,389"
2,1,3,3,1,7,"1,238","185,440","275,438","578,337","736,023"
3,3,6,6,1,57,960,"91,108","219,894","523,155","679,673"
4,1,7,7,1,78,"1,565","29,590","142,745","448,265","602,483"
5,1,8,8,1,81,"1,238","1,848","62,741","368,207","522,300"
6,1,9,9,1,115,"1,279","1,976","2,492","255,524","408,192"
7,1,10,10,1,50,"1,720","2,104","3,385","207,488","358,764"
8,1,11,11,1,47,"1,423","2,283","4,056","161,724","312,311"
9,1,12,12,1,56,"1,262","1,742","3,102","107,191","256,920"
10,1,13,13,1,87,"1,603","1,913","4,862","22,051","172,202"
11,1,14,14,1,107,699,"2,698","4,082","6,898","66,402"
12,1,15,15,1,76,"1,131","1,365","3,690","5,280","8,050"
13,1,16,16,1,42,"4,067","6,502","7,540","9,396","11,623"
14,1,17,17,1,10,"5,947","6,309","9,292","11,348","22,495"
15,1,18,18,1,71,"1,421","1,694","4,460","8,653","10,702"
16,1,19,19,1,35,961,"1,280","6,791","7,658","11,915"
17,1,20,20,1,65,"2,709","8,077","9,577","12,572","17,547"
18,1,21,21,1,80,"7,915","13,732","14,509","22,805","41,637"
19,1,22,22,1,111,"1,237","1,673","4,649","7,726","19,681"
20,1,23,23,1,18,750,921,"2,104","5,193","13,827"
21,1,24,24,1,86,604,"1,009","2,782","8,181","14,224"
22,1,25,25,1,60,742,"1,158","2,027","5,965","12,717"
23,1,26,26,1,46,710,959,"1,477","6,374","22,166"
24,1,27,27,1,66,755,985,"1,772","7,271","23,052"
25,1,28,28,1,78,599,968,"1,365","3,308","8,793"
26,1,29,29,1,29,"1,084","1,460","1,614","3,080","18,633"
27,3,30,32,1,35,836,"1,050","1,852","4,910","10,433"
28,40,31,72,1,94,"1,038","1,169","1,888","4,863","7,642"
29,24,32,96,1,46,816,"1,015.5","1,679","3,330.5","13,187"
30,13,33,111,1,67,"1,117","4,662","5,380","7,319.5","20,859"
31,3,34,112,1,95,"1,160","1,430","1,718","3,322","8,356"
32,1,35,113,1,55,763,"2,751","3,700","5,472","12,090"
33,1,36,114,1,78,792,"1,175","2,872","7,659","18,119"
34,1,37,115,1,14,"1,028","1,492","2,502","3,357","9,455"
35,21,38,136,1,98,922,"8,332","9,280","15,298","29,272"
36,1,39,137,1,35,"1,305","3,201.5","4,250.5","6,965.5","36,603"
37,1312,40,"1,521",1,88,730,"1,098.5","5,459","9,511.5","45,704"
38,152,41,"1,601",1,7,"1,443","11,241","12,484.5","21,558.5","99,006"
39,2496,42,"4,097",1,112,594,"2,120.5","7,441.5","16,440","43,540"
40,57,43,"4,154",1,17,"1,072","5,140","6,790","18,969","68,774"
41,6206,44,"10,360",1,98,572,"1,488","10,585","19,876","53,499"
42,251,45,"10,611",1,23,965,"12,776","19,721","26,001","165,593"
43,9700,46,"20,311",1,103,"1,065","2,880","7,129.5","24,062","99,652"
44,10820,47,"31,131",1,74,509,"4,314","16,177","81,452","131,357"
45,599,48,"31,767",4,18,992,"8,242","14,299.5","94,326","140,650"
46,3402,49,"35,132",1,61,"1,119","17,935","28,084","52,366","124,941"
47,9017,50,"44,149",1,45,"1,214","18,670","27,130.5","50,497.5","189,299"
48,33616,51,"77,765",2,114,"1,525.7","9,911","20,844.5","53,119","172,626.3"
49,10958,52,"89,325",2,23,524,"12,133","26,267.5","100,918","184,965"
50,20963,53,"118,891",1,106,577.3,"7,467","30,950.5","135,622","188,046"
51,10290,54,"121,307",2,32,631,"32,316","45,612","146,363","262,226"
52,33614,55,"153,590",2,103,"1,116","14,150","68,490","189,762","337,305"
53,33615,56,"187,205",5,57,"1,515","13,593","154,961","310,988","648,005"
54,33615,57,"220,820",6,57,"1,718.5","29,976","171,669.5","354,641","675,003.4"
55,33616,58,"254,436",7,64,862.4,"37,391","188,884","332,188","619,551.8"
56,33615,59,"288,051",5,24,"1,211.3","108,526","234,062.5","382,091","651,462"
57,33615,60,"321,666",5,104,911,"85,427","212,282","314,965","543,471"
58,33615,61,"355,281",4,72,950,"43,126","184,118","292,806","527,463"
59,33616,62,"388,897",3,57,901.8,"18,450.5","147,073","269,581","508,829.2"
60,32031,"420,928","420,928",0,97,"4,620","65,629","117,448","276,849","464,865"
61,15733,"436,661","454,543",2,133,"13,703","48,866.5","109,140","205,498","329,021.5"
62,33257,"469,918","470,276",1,78,"22,989","66,596","148,293","229,265","313,521"
63,33615,"484,355","503,533",1,91,"10,813","28,961","75,674","167,450","239,453"
64,5889,"509,422","509,422",0,35,"15,478.4","35,752","117,462","190,045","231,546"
65,4048,"513,470","513,470",0,27,"8,231","115,182","323,047","579,728","1,198,380"
66,29025,"542,176","542,495",1,112,"13,539","48,087","295,615","572,214","1,085,673"
67,24469,"564,191","576,110",6,70,"6,210.6","80,093","285,124","534,366","1,027,864"
68,33615,"591,703","601,937",3,80,"8,963","193,934","346,709.5","478,276","1,185,009"
69,33615,"634,194","635,552",1,118,"15,413.2","159,934","287,179","482,510","1,154,490.2"
70,33616,"659,729","667,810",1,141,"7,801","95,371","209,715","404,084","996,478"
71,33615,"701,425","701,425",1,76,"8,145","117,452.5","224,593","486,898.5","1,014,242"
72,33615,"735,040","735,041",1,93,"26,036","246,577","520,614","787,457","1,238,851.4"
73,33615,"762,135","768,655",1,133,"32,212.6","222,392","430,179","652,782","1,121,000.4"
74,33615,"794,917","802,270",2,134,"38,363","188,487","366,150","556,958","1,072,514"
75,33615,"828,532","835,885",1,180,"16,710","199,047","352,141","538,990","1,039,956"
76,33615,"862,147","869,500",1,61,"5,621","213,331","399,025","603,555","1,156,347"
77,33614,"903,114","903,115",1,93,"6,450","159,815","405,867","550,108","1,067,542"
78,33615,"936,729","936,729",0,140,"12,335","88,673","157,682","407,710","951,754"
79,33615,"970,344","970,344",1,109,"10,224","64,384","259,146.5","425,943","1,522,230.8"
80,33615,"1,003,959","1,003,959",2,112,"11,012","55,779.5","168,984","332,156","1,619,760.8"
