BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"595,613","623,460","748,078","854,059","918,153"
1,1,2,2,0,30,"566,523","595,287","720,242","826,509","890,223"
2,1,3,3,0,26,"540,809","569,846","695,784","801,355","866,265"
3,3,6,6,0,63,"478,043","507,681","633,622","739,372","804,307"
4,1,7,7,0,64,"414,301","445,423","571,344","677,306","740,817"
5,1,8,8,0,60,"354,552","387,791","512,775.5","620,432","681,525"
6,1,9,9,0,60,"285,952","294,995","416,796","561,624","622,810"
7,1,10,10,0,96,"196,545","199,316","322,980","467,217","530,745"
8,1,11,11,0,93,"105,721","106,675","232,022","375,601","438,812"
9,1,12,12,0,70,"37,059","37,188","162,823","306,426","369,721"
10,1,13,13,0,35,"7,010.6","7,545","8,005","16,921","298,508.8"
11,1,14,14,0,62,"1,526","2,050","2,587","4,682","238,176.4"
12,1,15,15,0,27,"1,726.4","2,258","2,746","3,788","214,452"
13,1,16,16,0,116,"2,108.4","3,266","3,979","8,858","101,333.4"
14,1,17,17,0,34,"1,962.2","2,669","3,352","5,272","68,350.4"
15,1,18,18,0,54,"1,369.8","1,930","2,841","6,131","27,929.4"
16,1,19,19,0,79,"4,663.6","5,152","6,833","9,351","13,003.2"
17,1,20,20,0,83,"1,179.2","1,575","1,830","3,308","15,131.4"
18,1,21,21,0,25,"4,880.8","5,334","5,582","8,485","13,054.8"
19,1,22,22,0,75,"2,364","2,731","3,116","12,924","19,446"
20,1,23,23,0,128,"2,958.2","3,461","4,429","8,710","11,293.2"
21,1,24,24,0,6,"2,095.8","2,716","3,311","7,415","13,230.6"
22,1,25,25,0,60,"6,581","7,384","8,943","14,092","37,356.8"
23,1,26,26,0,79,"2,964","3,729","4,456","5,826","12,566.2"
24,1,27,27,0,65,"3,888.8","4,577","5,888","7,528","13,567.2"
25,1,28,28,0,42,"18,478","19,486","20,465","21,202","32,188.4"
26,1,29,29,0,79,"3,207","4,027","4,415","7,589","21,706"
27,1,30,30,0,86,"5,089.4","5,814","6,741","10,606","26,118"
