height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
125,56941,56941,"2132.2000000000003",3206,6458,13269,"104456.59999999986"
126,62043,62043,6237,"22671.5","241520.5","471706.5","756494.2000000001"
127,92354,64566,39579,116395,"301936.8333333333",457488,702536
128,100129,79388,58480,141640,292005,394814,613701
129,133416,92914,28108,139120,223066,316732,570874
130,167031,103568,"11761.300000000001",110396,179781,"255600.5",494088
131,200646,200646,20246,41157,102922,212553,401633
132,210899,201879,21488,56517,91176,175680,365150
133,231338,211049,"43286.60000000001","86781.5","217416.5",288925,"585362.5999999992"
134,226901,222920,29827,127222,186477,272223,632703
135,260439,231093,18556,85318,159923,271804,"517932.1999999994"
136,271761,264708,7981,57240,132478,252884,489803
137,298323,291525,"33642.2",79859,"160664.5",231631,"922597.5999999953"
138,331938,331938,7748,86632,"132009.5",226938,928573
139,365552,365552,61931,181883,"338954.5",478199,854071
140,399167,381985,"26553.80000000001",119154,256415,383234,"599244.1999999996"
141,432782,410391,22880,110178,223489,412055,732898
142,444006,444006,93519,171475,"321899.5",457891,840943
143,477621,477086,8115,53961,166779,331853,"733138.4000000007"
144,505449,505449,8941,99093,"192563.5",368953,748451
145,539064,539064,52226,93055,219874,395085,"663258.7999999996"
146,557386,549554,"37888.399999999994",102011,236230,332643,"615200.8"
147,591001,567309,14954,66806,133805,290719,513403
148,603020,600549,10549,93264,126722,188898,413267
149,609812,609812,"32247.400000000005",77331,115326,281220,"848033.3999999989"
150,643427,643427,"72601.40000000001",126336,"249189.5",460572,923430
151,677043,677042,41892,122690,256253,"450084.5",773476
152,710658,704298,11735,108627,202168,469901,643713
153,744273,737913,9268,137337,"337898.5",482585,682358
154,777888,777887,14006,117309,305408,515164,1070769
155,811503,811502,"34252.000000000015",136641,"298813.5",439865,"989993.4999999999"
156,845117,845117,8651,145366,280718,506505,1027269
157,878732,878731,9960,62071,"118063.5",435007,888757
158,912346,912346,13614,103420,138270,553061,1194148
159,945961,945960,10599,75979,144036,485326,994507
160,979576,979574,8195,95871,144835,421670,1586470
161,1013190,1013189,9166,122825,583294,744980,1005753
162,1046806,1046804,"29746.200000000008","119899.5","474276.5","767922.5","1604693.4999999998"
163,1080421,1080420,86671,287557,509265,870506,1458860
164,1114035,1114035,26632,202981,573370,1335410,2165969
165,1147650,1147650,42864,178150,735465,1152200,1819523
166,1181266,1181264,32648,192877,662590,995920,"1672534.4"
167,1214881,1214879,8927,146654,519516,901841,"1628162.5999999992"
168,1248495,1248494,8251,117599,295196,656973,1528797
169,1282110,1282109,17023,116249,458730,938311,1445070
170,1315726,1315724,7274,135389,456008,998981,1521589
171,1349341,1349341,9109,95177,182390,601695,1624958
172,1382956,1382956,86663,167960,"230625.5",631168,2380576
173,1416571,1416571,46335,112064,226405,497191,1957891
174,1450186,1450186,41738,93279,"382642.5",1228897,1951506
175,1483801,1483801,"105095.29999999999",171408,"228329.5",692706,1209529
176,1517416,1517416,57272,74456,243432,1128692,2156239
177,1551032,1551031,8527,100459,263940,689759,2463656
178,1584647,1584646,8675,68304,163906,489995,3223158
179,1618262,1618262,59541,79751,459230,1627914,3618758
180,1651877,1651877,"194143.6",276966,588008,1658309,"3596545.1999999983"
181,1685493,1685492,92618,140843,258722,1552329,"3261992.600000001"
182,1719108,1719106,105825,142573,226498,1346721,3414183
183,1752722,1752722,145448,"448944.5","510890.5","1489052.5",3642654
184,1786338,1786337,44360,58519,148984,1179817,3449873
185,1819954,1819953,49920,65881,133480,376284,3714032
186,1853569,1853569,355360,509542,550292,968520,3945008
187,1887184,1887184,75070,80752,"287381.5",1175024,4291005
188,1920799,1920799,65082,"68094.5",164608,973009,5008352
189,1954414,1954414,174412,356670,372497,749847,4930285
190,1988029,1988029,18008,29137,98499,"613670.5",4938004
191,2021644,2021644,26128,34333,92900,795609,5511637
192,2055259,2029862,112041,281503,330084,550157,6564468
193,2088875,2088874,6797,54284,103702,434389,4935005
194,2122490,2122490,52832,69324,123422,1063926,4951933
195,2156105,2156105,35741,37368,92359,1063649,4920669
196,2189720,2162073,27884,29823,122281,1149705,5098749
