height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"716,059","718,941","724,043.5","733,620.5","740,977"
1,2,2,"681,329","684,147.5","688,953","698,059","705,178"
2,3,3,"677,118","680,205","684,940.5","693,696.5","700,804"
3,6,6,"649,039","652,500.5","657,139","665,415","672,514"
4,7,7,"603,848","607,378.5","611,929.5","620,172.5","627,395"
5,8,8,"586,399","590,021","594,688.5","602,764.5","609,795"
6,9,9,"565,026","568,747.5","573,452","581,407.5","588,380"
7,10,10,"553,427","557,340","562,227.5","570,814.5","578,427"
8,11,11,"515,478","519,195","524,328.5","532,922","540,099"
9,12,12,"489,737","493,220.5","498,025","506,598","513,850"
10,13,13,"479,893","483,270","487,776","496,319.5","503,734"
11,14,14,"460,539","464,118.5","468,539.5","476,795.5","484,210"
12,15,15,"449,400","453,508","458,036.5","465,928","473,399"
13,16,16,"444,901","449,071.5","453,650","461,785.5","469,513"
14,17,17,"435,385","439,626","444,729","452,936","460,281"
15,18,18,"423,752","428,181","433,377","441,496","448,848"
16,19,19,"394,479","398,824","404,031.5","412,193","419,492"
17,20,20,"377,413","381,562","386,703","395,048","402,401"
18,21,21,"371,131","375,317","380,374.5","388,753","396,260"
19,22,22,"352,065","356,093","361,142","369,607.5","377,052"
20,23,23,"298,664","331,920","339,538","343,764","356,861"
21,24,24,"291,281","324,660","332,010","336,573","350,171"
22,25,25,"264,224","297,348","305,186","309,649","323,064"
23,26,26,"227,642","260,174","268,637","272,258","287,388"
24,27,27,"226,552","258,908","267,754","271,201","286,024"
25,28,28,"212,402","245,394","253,889","256,979","272,117"
26,29,29,"209,354","241,012","249,706","253,837","267,868"
27,30,30,"200,938","234,609","241,724","245,922","261,674"
28,31,31,"176,831","210,127","218,033","221,837","237,608"
29,32,32,"167,317","197,569","208,285","209,463","225,692"
30,33,33,"148,976","178,415","188,994","190,898","206,368"
31,34,34,"123,644","153,669","163,962","165,790","181,136"
32,35,35,"120,120","150,607","160,813","163,125","177,629"
33,36,36,"94,587","126,259","135,672","137,793","152,296"
34,37,37,"71,399","102,860","112,374","114,904","129,255"
35,38,38,"54,880","86,403","95,691","98,830","113,549"
36,39,39,"45,506","77,477","87,059","89,548","104,125"
37,40,40,"37,590","69,104","79,752","81,741","95,701"
38,41,41,"6,185","6,350","56,113","68,817","82,219"
39,42,42,"3,041.8","3,818","4,106","5,525","55,128.4"
40,43,43,"1,810.6","2,710","3,524","4,208","49,159.8"
41,44,44,"1,829.6","2,798","2,993","3,824","10,848.4"
42,45,45,"22,932.2","24,120","24,286","25,183","25,837"
43,46,46,"1,922.4","2,962","3,998","4,792","10,779.6"
44,47,47,"2,145.2","3,073","4,919","5,697","8,098.4"
45,48,48,"1,555.4","2,542","3,242","5,783","7,555"
46,49,49,"1,444.8","2,304","3,269","3,825","6,904.4"
47,50,50,"1,796.2","2,440","2,715","4,049","7,313.6"
48,51,51,"2,379.4","2,975","3,485","4,419","7,828.6"
