height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
108,2219,2182,6153,9743,13082,16681,32298
109,2224,2224,5761,7517,9986,23419,36009
110,2443,2443,3612,8269,11404,24859,37104
111,2444,2444,3348,8574,15012,25170,44328
112,4581,2796,"7751.9",17399,"20698.5",56334,"67419.9"
113,6030,5082,"8283.8",11925,18555,31007,"38651.799999999996"
114,6320,6320,7851,14968,24547,67353,117187
115,7254,6683,7790,21392,84799,135762,166409
116,8858,8498,13412,49289,107713,127451,163890
117,11354,9411,11749,25647,68341,80697,122493
118,11665,11397,7898,17242,43922,65088,103237
119,12777,12437,8443,26898,38591,56118,89151
120,13329,12716,5323,15627,26542,37706,54171
121,14006,14006,"17467.4",22907,57899,81399,"193709.7999999996"
122,19566,16621,"14572.599999999999",21912,31938,62156,"192408.40000000008"
123,20168,19182,12081,24412,30542,105200,222612
124,26409,25876,25277,31705,36757,62375,197192
125,28249,28204,11719,24744,29374,43952,196864
126,35314,31432,"16015.2",28009,31517,44920,"203078.19999999987"
127,36636,36636,"15889.4",30725,95186,143293,"237155.3999999999"
128,49619,44650,29741,35220,82106,142914,191557
129,60812,44828,9666,34642,"49888.5",131495,225251
130,65499,61040,"35649.50000000001","39638.5",48900,"83333.5","147907.09999999916"
131,80935,80935,21319,30488,57714,130670,205591
132,84704,80997,"37452.799999999996",59765,72090,83226,"136750.2999999999"
133,118320,118320,22943,80641,"214295.5",302955,451485
134,137057,125072,32418,"69093.5",149348,"223937.5",367989
135,166648,127720,"26621.900000000005",54752,85572,154150,316486
136,170612,170612,56794,104767,"163444.5",226081,288879
137,188743,184676,"16433.800000000003",66210,97693,144506,"252066.3999999999"
138,195794,190377,25705,89790,210523,321721,534227
139,223992,191147,"22341.800000000003",104551,204056,303614,476610
140,257607,224762,"14739.7",84583,180261,275954,"465539.30000000005"
141,258378,240312,"16702.7",124316,209963,336695,"454970.8999999999"
142,291992,273875,17325,48446,126400,230153,339598
143,307491,307491,33563,150793,245873,341136,439541
144,337967,315141,31778,84795,178636,242809,340166
145,356893,316913,20891,119051,"195312.5",315007,474539
146,371212,338993,17534,118439,191653,290367,526458
147,394340,369821,13049,91815,155826,253848,480534
148,403436,403436,26286,68330,"138559.5",206845,395989
149,435531,435531,"27784.200000000008","116214.5",237318,"450144.5","783392.3999999994"
150,469146,456185,27609,71417,233864,399836,713234
151,489800,486162,8852,61402,246123,358277,667523
152,523415,519777,"9431.800000000001",74367,"122641.5","383898.5","716508.8999999991"
153,557030,551331,9012,66237,129727,266379,597881
154,590538,584946,9004,67467,132500,246548,507390
155,618561,618561,66735,193177,480186,865918,1290449
156,652176,650867,40840,258782,458116,734494,1166984
157,685791,682334,"41923.200000000026",158198,389898,678808,"1173469.3999999992"
158,719406,718097,"10145.5",199660,"433592.5",669826,1048093
159,753021,753020,9012,240187,580218,788737,1013535
160,786636,786635,10770,109846,283425,523730,"831878.0000000007"
161,820252,820251,"16201.400000000029",276213,526850,950431,"1902754.0999999999"
162,853867,853867,12025,299512,572837,864750,1795478
163,887482,887482,11668,175082,566557,987593,2912711
164,921097,921097,57248,448995,875895,1477150,3942083
165,954712,954712,10041,155886,"536370.5",1080809,3281812
166,988327,988327,8049,305140,857105,1360040,4055598
167,1021942,1021942,"9778.6","113544.5","666792.5","1578353.5","3823219.0999999954"
168,1055558,1055557,8826,81929,184827,987207,2481341
169,1089173,1089172,9806,86741,156751,998616,2300307
170,1122787,1122787,"10868.6","116832.5",472654,1090254,2689027
171,1156402,1156402,10009,124701,819010,1356525,2565848
172,1190017,1190017,"11062.5","136384.5","643322.5",1035326,2350410
173,1223632,1223631,9424,117337,"580468.5",1099276,2084386
174,1257246,1257246,8131,151675,624005,1290949,2039973
175,1290862,1290861,8226,110226,194339,1216961,1811223
176,1324477,1324477,9462,"68698.5",607969,"1122802.5",1752947
177,1358093,1358092,10708,87986,146100,677296,1095859
178,1391708,1391708,12352,95326,139832,577719,1213545
179,1425323,1425323,9673,90981,119481,277417,1029843
180,1458938,1458938,53416,84370,"184173.5",676851,1861638
181,1492553,1492553,7371,75658,180287,695600,1701746
182,1526168,1526168,8571,74173,127294,532616,1525047
183,1559783,1559783,"69329.4",216183,947249,1759409,"2997016.899999994"
184,1593398,1593398,37761,294230,912872,1621593,2660229
185,1627013,1627013,9118,451535,877945,1523947,"2609858.799999997"
186,1660628,1660628,"13314.500000000004","387197.5",1028237,"1617186.5","3068429.799999994"
187,1694243,1694243,"8178.3",109008,543963,"1188957.5","2645690.2999999975"
188,1727858,1727858,54410,97787,333759,864878,2249545
189,1761473,1761473,9044,96204,450002,"949620.5",2053967
190,1795088,1795088,10301,112326,423389,815832,1962641
191,1828703,1828703,6307,"91355.5",343476,752908,1884984
192,1862319,1862318,15803,89059,101308,510207,1842048
193,1895933,1895933,"8591.2",71414,409776,605293,"1815403.1999999986"
194,1929548,1929548,11676,81141,350969,509796,1317930
195,1963163,1963163,9784,102819,"281121.5",449680,"1637052.5"
196,1996778,1996778,6452,102773,259461,401113,1772480
197,2030393,2030393,9010,84595,127687,433639,1167901
198,2064008,2064007,7366,67378,96213,258582,1050512
199,2097622,2097622,9955,33542,121577,462007,969041
200,2131238,2131237,9455,52091,73451,285623,867532
201,2164853,2164853,"25906.600000000002",71915,230062,"355874.5","801420.7999999985"
202,2198468,2196360,22142,74148,205096,336462,757997
203,2230735,2229975,"10931.500000000004",68677,"163839.5",274518,"1030040.3000000014"
204,2263590,2263590,64809,72761,"112635.5",224486,1218309
205,2297205,2297205,7528,24909,"36493.5",53971,365257
206,2330821,2330821,19801,23523,29000,76836,1096109
207,2364436,2364436,7010,20700,29420,37757,292665
208,2381671,2381671,"10548.400000000001",11620,"15548.5",17341,"298009.0999999953"
209,2382594,2382594,"6183.500000000001",6395,7282,9168,"276373.6999999953"
210,2382595,2382595,"1929.1000000000001","2063.5","2228.5","7102.5","256844.7999999953"
211,2382596,2382596,"1579.3000000000002","1727.5","2347.5","5981.5","250667.3999999953"
212,2382597,2382597,681,1472,1727,"5824.5","249427.99999999529"
213,2382598,2382598,"1532.0000000000002","1768.5",2401,"4667.5","247395.8999999953"
214,2382599,2382599,"4305.900000000001",4596,"5069.5","5975.5","234800.9999999953"
215,2382602,2382602,621,"1607.5",1873,"2365.5","220962.09999999532"
216,2382603,2382603,1570,"2240.5",2777,3143,"217939.1999999953"
217,2382604,2382604,"1349.0000000000002",2104,"2481.5","2972.5","213798.49999999529"
218,2382614,2382614,"1664.5000000000002",2042,"2265.5","2601.5","191558.29999999527"
219,2382615,2382615,1747,1940,2558,2682,102163
220,2382622,2382622,1467,1735,1900,2391,81462
221,2382623,2382623,"1389.0000000000005",1703,1837,"2369.5","143811.39999999525"
222,2382625,2382625,2123,"2468.5",3073,"3283.5","134484.59999999526"
223,2382635,2382635,"1856.1000000000001","2253.5",2594,"3010.5","109508.49999999524"
224,2382637,2382637,"1830.6000000000001",2161,2635,"3619.5","101566.79999999524"
225,2382648,2382648,"1363.4000000000003","1539.5","2093.5",2243,"91623.89999999525"
226,2382649,2382649,"2145.8","2414.5",2919,3253,"85950.69999999534"
227,2382650,2382650,"1201.9","1578.5",2196,"2359.5","84612.19999999537"
228,2382651,2382651,"1683.4","1924.5","2240.5",2495,"83322.99999999543"
229,2382652,2382652,"2090.2000000000003",2299,2439,"3169.5","81938.99999999552"
230,2382673,2382673,832,1479,1886,2218,"80249.39999999558"
231,2382674,2382674,"1970.9",2546,"3115.5",3271,"83087.09999999568"
232,2382675,2382675,"949.6000000000003",1517,"1895.5",2326,"79462.69999999568"
233,2382676,2382676,686,1400,1576,"1773.5","76206.89999999579"
234,2382679,2382679,628,1353,1526,"1907.5","76167.1999999959"
235,2382680,2382680,"2046.7",2454,2850,3095,"74305.79999999597"
236,2382681,2382681,"974.2000000000002","1432.5","1515.5",2173,"70819.39999999611"
237,2382682,2382682,"1423.8000000000004",1613,"1785.5",1978,"69953.59999999616"
238,2382685,2382685,"985.5","1754.5","2043.5","2305.5","68253.99999999629"
239,2382700,2382700,"1768.0000000000002",1994,2768,2933,"70686.69999999633"
240,2382702,2382702,"1786.8000000000002","1902.5","2086.5",2384,"66203.59999999641"
241,2382703,2382703,"1625.4000000000003","2008.5",2446,"2908.5","66470.89999999647"
242,2382704,2382704,"1582.8000000000004","1759.5","1912.5","2226.5","65493.19999999649"
