height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,483067,563078,"605371.5",726231,856807
1,2,2,457452,536986,579322,701316,831718
2,3,3,447669,527262,569618,693042,823227
3,6,6,379888,459570,"501847.5",625959,756019
4,7,7,300272,379902,"423794.5",546951,676628
5,8,8,254515,334169,378587,502269,632709
6,9,9,136741,216494,261441,388805,516294
7,10,10,46975,126828,172194,299956,427519
8,11,11,3274,3778,8460,123096,"346699.1999999999"
9,12,12,"4595.2",4947,7154,60389,"284802.3999999999"
10,13,13,"1338.2",1783,2499,5889,"205187.3999999999"
11,14,14,"4075.2000000000003",4474,4668,8130,"146001.1999999999"
12,15,15,"1585.4",2015,2350,4312,"85428.59999999992"
13,16,16,"1987.4",2310,2618,5442,"81926.1999999999"
14,17,17,"1864.8000000000002",2296,2491,5677,"26118.999999999956"
15,18,18,"2912.2",3489,4600,5403,"23841.59999999997"
16,19,19,2485,2860,3852,5080,"7204.199999999997"
17,20,20,"721.2",1035,2947,6361,"23336.19999999996"
18,21,21,901,1304,1506,3560,"11657.399999999998"
19,22,22,"2780.6",3383,4151,8923,"28688.39999999996"
20,23,23,"5107.4",5471,5845,8827,"16238.2"
21,24,24,"3619.4",4027,4290,8166,"28793.799999999977"
22,25,25,"2465.4",3099,3768,11966,"24246.799999999974"
23,26,26,"1320.8",1774,2170,10678,"15588.999999999995"
24,27,27,18259,18763,19587,21159,"27788.800000000003"
25,39,39,"5979.2",6314,"7355.5",15016,"88714.79999999996"
26,75,75,"2780.1000000000004","3631.5",5178,"15120.5","21091.399999999958"
27,76,76,"899.4000000000001",1732,4104,12054,"26794.19999999999"
28,98,98,1382,2237,"2687.5",4806,"32712.399999999812"
29,99,99,"942.2000000000002",1587,3411,9405,"22456.199999999983"
30,100,100,"1195.2",1650,2264,10083,"15502.79999999999"
31,101,101,"799.6",1530,2092,5215,"17075.599999999984"
32,102,102,"2012.2",2696,2877,4317,"10899.799999999992"
33,123,123,3126,3447,3873,4879,"8068.999999999998"
34,124,124,"4274.8",4757,"5119.5",8224,"38426.499999999745"
35,147,145,"692.6",978,"1399.5",14435,29095
36,187,187,"4355.200000000001",5039,5487,6846,"15793.799999999996"
37,1646,1646,"1786.4",2208,2996,8754,"19456.799999999974"
38,1661,1661,"2356.2000000000003",2747,3111,4846,"28203.399999999987"
39,5574,5574,"2478.6000000000004",3307,4202,9623,"13328.8"
40,5866,5866,"2195.3",3569,"4030.5",11406,"57650.0999999996"
41,14573,14165,8452,9624,"11434.5",14649,"28476.699999999884"
42,16437,16437,"9554.6",11611,12248,16942,"40844.599999999984"
43,28888,28888,"4286.2",6851,9346,12886,"22507.99999999999"
44,29494,29494,"10097.6",10670,11846,18890,192540
45,59360,50864,19250,29520,32121,104794,137479
46,71414,65454,"5162.6",9768,"33526.5",124434,"360410.10000000015"
47,71514,71475,4583,16817,111645,267618,352080
48,105090,73329,6161,18801,"52068.5",186612,"269882.3"
49,120845,75007,3686,9679,108861,174610,252808
50,148527,75875,6498,16473,68405,166715,344192
51,155151,110103,5229,7973,39308,159316,420646
52,184530,125113,27303,"67705.5","306792.5",539297,755555
53,190877,136865,11723,171601,283511,496391,642272
54,222405,183587,7636,110472,"254568.5","393526.5",572240
55,256020,185288,"9071.8",141287,280093,374245,"517835.6"
56,289636,267064,5685,138585,253082,371524,490986
57,313831,297718,3909,103973,297033,354691,"618420.5"
58,347446,317487,5556,110503,298831,334282,523244
59,340528,340528,4649,"194758.5","255282.5",327754,"634270.6999999996"
60,374143,354622,8988,21629,"123903.5",179161,377375
61,401228,401228,14928,"64404.5",191021,"309270.5",510250
62,434844,417981,6630,33665,163160,300061,413151
63,468458,451149,"7186.700000000001",96163,"206082.5",319013,466445
64,502074,502073,"21995.4",108543,196501,257780,"425017.5999999993"
65,535688,510341,12130,87755,155461,230284,"500311.9999999994"
66,559189,543700,24361,148610,"259857.5",447127,1036604
67,592804,567804,"35683.600000000006",174234,"293107.5",480166,"1080499.6999999997"
68,610670,587132,12304,141955,276342,548183,1211963
69,644285,610986,77736,220779,406455,561077,948475
70,677901,639231,16184,196007,337281,479202,863495
71,711517,689097,9366,108730,"251551.5",353885,"804521.9999999999"
72,737269,708992,9116,216378,373632,872508,3784412
73,770884,742608,9079,96236,280182,732775,4452081
74,804499,790167,"11003.300000000001",82989,261091,603567,"4663481.699999989"
75,828752,828752,74300,202837,488147,887909,"4485227.799999996"
76,862367,842918,48283,227597,528896,773603,1441994
77,885832,883854,122985,296533,514781,656350,1355394
78,919447,917435,"25545.200000000008","165975.5",394153,576430,"3229247.1999999923"
79,953063,951051,12564,201401,323459,649493,4246609
80,984666,984666,11229,71105,111731,452987,4064308
