height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"77264.8",247409,443934,538604,849784
1,2,2,"62297.80000000001",226367,428035,520332,"830073.3999999999"
2,3,3,"52899.8",211751,415128,507342,"818054.7999999999"
3,6,6,"4952.6",114208,318338,415351,"721584.3999999999"
4,7,7,"3821.2",23461,225356,325579,"629604.9999999999"
5,8,8,"3247.6",3713,162840,255380,560083
6,9,9,"6562.2",7673,103116,192690,"497490.6"
7,10,10,"4610.6",5188,31832,120230,"425587.6"
8,11,11,"6449.8",6889,7470,17213,"320932.99999999994"
9,12,12,"2481.2000000000003",3073,3356,10836,"223810.79999999993"
10,13,13,"3732.8",4130,4627,14032,"153315.39999999994"
11,14,14,"1982.4",2318,2450,7917,"60942.19999999994"
12,15,15,"2584.2",2828,2990,6409,"14393.799999999988"
13,16,16,"2271.4",2667,2766,5250,"11108.999999999993"
14,17,17,"1422.6",1665,2060,3805,"8924.8"
15,18,18,1817,2248,3186,8508,"15294.599999999995"
16,19,19,"14722.599999999999",15031,15731,24887,"25821.8"
17,20,20,1411,1933,3015,6630,"12560.39999999999"
18,21,21,"8781.4",9245,9633,13331,"18126.8"
19,22,22,"3268.3999999999996",3616,4155,6428,"11844.39999999999"
20,23,23,"1320.8000000000002",2173,4599,9988,"15427.999999999998"
21,24,24,"31785.4",32359,33777,40712,"58262.39999999996"
22,25,25,"6308.200000000001",6799,7555,11211,"20410.599999999995"
23,26,26,5125,6318,7345,9335,"26986.199999999975"
24,27,27,2726,3234,3609,6358,"20510.199999999986"
25,28,28,"2717.2",3087,3212,4028,"14733.599999999995"
26,29,29,"2446.4",2769,3475,5973,"12354.199999999997"
27,30,30,1973,2340,3658,9130,"17401.59999999998"
28,31,31,"6617.8",6936,7145,10200,"14392.400000000001"
29,32,32,"1954.2",2276,2452,2787,"19554.399999999965"
30,55,55,9344,9603,9728,10318,"14418.999999999993"
31,85,85,"2858.8",3134,3451,6515,"24960.39999999998"
32,86,86,"3082.8",3655,3843,5864,"10806.2"
33,114,114,"569.2",1149,1334,3530,"13172.199999999993"
34,115,115,"6427.8",6694,7014,8829,"17583.399999999994"
35,116,116,"1169.1",1353,"1555.5",3027,"48929.09999999964"
36,120,120,"672.3000000000002",948,"1207.5",8033,"25648.299999999967"
37,122,122,"6442.4",7062,7313,9679,"59081.59999999971"
38,336,260,"1267.6000000000004",1574,2534,16867,"47336.39999999963"
39,366,365,"2690.7000000000003",2949,3702,7468,"35901.99999999975"
40,2090,2090,"1250.2",1856,2407,7843,"11868.799999999997"
