height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"264361.6",364231,526352,696159,"900881.6000000001"
1,2,2,"232540.40000000002",332202,496585,666277,"872303.8"
2,3,3,"213823.4",313447,478462,648587,"856818.8"
3,6,6,"118139.40000000001",217690,382995,555929,"762883.2000000001"
4,7,7,"12254.2",138532,273806,430471,"681993.8"
5,8,8,"7739.4",67683,199015,357080,"608246.6"
6,9,9,6816,12317,142257,301674,"552532.5999999999"
7,10,10,"8501.400000000001",9162,64540,225516,"476353.9999999999"
8,11,11,"4277.8",5157,13342,136259,"389186.79999999993"
9,12,12,"9015.4",9811,10386,76552,"329971.19999999995"
10,13,13,"11741.400000000001",12243,12717,20961,"276110.19999999995"
11,14,14,"3633.2",4112,4422,8835,"197864.39999999994"
12,15,15,"1560.2",2194,2630,4801,"135889.99999999994"
13,16,16,1422,2054,3058,3981,"70513.19999999992"
14,17,17,"1483.6",1939,2608,7247,"44098.399999999936"
15,18,18,"4885.6",5232,5548,7272,"21773.399999999987"
16,19,19,"1404.4",1879,2785,5282,"23577.199999999946"
17,20,20,"1350.8000000000002",1671,3973,7363,"19101.599999999966"
18,21,21,"6827.8",7147,7717,19423,"45179.59999999993"
19,22,22,"2818.8",3217,7541,10726,"53820.19999999999"
20,23,23,"1077.8",1803,2291,6787,"9693.199999999999"
21,24,24,"1519.6",1856,1981,9633,"10401.4"
22,25,25,"1449.8",1887,6135,12327,"21177.999999999993"
23,26,26,8100,8554,10293,19665,"30962.799999999974"
24,27,27,"5062.6",5580,6264,7551,"26761.59999999999"
25,28,28,"4361.8",4748,4997,6970,"26571.999999999978"
26,29,29,"2574.6",2878,3077,6556,"17071.79999999998"
27,30,30,"4408.4",4864,5306,13078,"14303.400000000001"
28,31,31,"3230.2",3658,3919,5943,"20552.799999999974"
29,32,32,"13883.400000000001",14166,14494,21880,"30736.999999999996"
30,47,47,"2436.2",2742,2933,6083,"11358.8"
31,70,70,"1120.8000000000002",1378,"2275.5",9798,"62255.69999999968"
32,94,94,"1540.2000000000003",1759,5652,15641,"35571.89999999984"
33,114,114,"797.2",1161,1506,5123,"8490.799999999997"
34,115,115,3518,3946,8517,176679,182916
35,116,116,"834.8",3682,7373,74168,"95574.59999999999"
36,117,117,1350,1652,2752,5254,"28410.79999999993"
37,118,118,"2884.8",3436,3601,4952,"25228.199999999968"
38,139,139,"7438.6",7811,8038,9452,"23859.999999999975"
39,306,306,"13775.4",14665,14951,21324,"23507.2"
40,412,412,"4638.6","4879.5",7082,"13631.5","191837.89999999988"
41,2124,2101,2047,2268,"8145.5",18281,131675
42,4848,4238,"2271.6000000000004",2723,10041,21498,"62885.2"
43,8243,8243,"2387.8",3007,7454,18258,"53779.799999999705"
44,8558,8533,"5938.200000000001",7111,7722,14295,"49812.699999999735"
45,15146,15146,"10334.4",11313,12670,22521,"31783.799999999992"
46,16670,16670,"2084.4000000000005",2592,5966,17838,"160200.19999999998"
47,31757,30317,3471,7510,21440,53387,127815
48,32080,31706,12167,18116,26768,80669,109288
49,39892,39892,14380,27446,181224,249724,297218
50,73509,71345,"7782.800000000001",33882,84706,152259,"211459.19999999963"
51,98765,79191,5964,31349,46499,112381,203131
52,100826,90359,1593,13634,61717,131779,430142
53,131288,124402,5007,14223,29973,62065,339765
54,135878,131912,2651,6662,39129,153152,322915
55,169493,137979,6127,21297,"46018.5","135422.5",252125
56,183032,141138,5177,24152,67580,132916,267713
57,201818,201818,9760,17220,120123,286964,431185
58,235433,207787,6513,21739,37685,180241,363498
59,265037,212427,5300,51526,247171,348354,611212
60,298652,286748,11387,45420,125753,219193,486861
61,298694,298694,35839,109330,263794,436636,"806262.7999999998"
62,332309,312705,34304,162770,265674,415563,703762
63,365925,339604,"12407.4",95571,152675,294853,"689476.8000000007"
64,373220,373220,"47888.10000000001",103333,"257213.5",354307,918077
65,380457,380457,"18801.600000000002",63239,"165721.5","263283.5",879000
66,403180,403180,"33778.600000000006",69675,141947,642010,"2221673.9999999898"
67,436796,436795,25007,129402,192760,447651,1649160
68,470411,443460,42024,122618,174949,606689,2670479
69,477074,477074,8333,80630,200937,691788,2557218
70,510689,510689,"8346.400000000001",29182,91254,465333,"2354854.2"
71,544304,544304,35075,49523,214385,497207,2302975
72,577919,577919,59396,129665,495622,872736,"2192096.7"
73,611535,606544,13992,96803,157660,506537,1840515
74,645150,645150,"147565.00000000003",240861,360413,713293,"1703542.7999999998"
75,678766,678765,10984,81546,144698,470318,"1383945.2000000002"
76,712381,712380,12627,159534,707655,984340,1744623
77,745996,745996,14147,161448,514119,828111,1507481
78,779611,779611,"10872.6",249998,410658,749953,"1379541.7999999996"
79,813226,813225,"45068.90000000001","258448.5",764567,1126847,"2212382.4999999986"
80,846841,846840,91975,225543,757407,1238751,2001013
81,880456,880455,66462,412674,653659,1077123,1619333
82,914071,914070,10468,481484,922446,1391492,2674891
83,947687,947686,"18603.200000000004",361475,649807,975262,2194457
84,981302,981301,10336,380613,811993,1303371,2372088
85,1014916,1014916,"40435.40000000001",549137,855388,1352122,"2753339.7999999914"
86,1048532,1048531,10768,152171,602415,1575690,3350876
87,1082147,1082146,21328,44250,223674,950728,3027743
88,1115762,1115761,9987,76663,131774,583256,2927281
89,1149377,1149375,10092,63530,"123680.5",670761,2874033
90,1182991,1182991,17507,55916,141285,1641205,2958575
91,1216607,1216606,38147,154717,213653,944206,2546549
92,1250222,1250222,"67595.50000000003",80352,"135804.5",959014,"2409980.299999997"
93,1283837,1283837,"17264.000000000004",72613,120116,996993,"2504167.599999998"
94,1317452,1317452,69195,106531,174854,373310,1855921
95,1351067,1351067,50088,127266,"171781.5",1152415,2092183
96,1384683,1384682,"66251.40000000001",153773,"469444.5",1248423,"2342703.4999999967"
97,1418297,1418296,"97295.4",254307,609587,1141484,"2065826.4"
98,1451911,1451911,79152,118493,394302,839270,1704154
99,1485527,1485526,21219,98966,461890,778448,1595499
100,1519142,1519142,28906,90795,214941,786467,1501339
101,1552757,1552757,68480,80055,176872,1109574,1620468
102,1586372,1586372,46665,"85921.5","160639.5","977110.5",2053484
103,1619987,1619987,71669,79478,127638,622661,1965664
104,1653602,1653602,58793,63531,113173,953056,2546582
105,1687219,1687217,8060,66766,"137956.5",802462,2969663
106,1720834,1708977,14747,58945,106256,559277,2749556
107,1742592,1742592,42493,50409,140878,401819,2677746
108,1776208,1776208,56521,60466,168747,786095,2724648
109,1809823,1809823,21573,71321,135737,704462,2703298
110,1843438,1843438,50210,83209,168179,1087436,3113249
111,1877053,1877053,71538,344712,367705,664194,3243236
112,1910668,1910668,31288,37124,52148,202090,2883275
113,1944283,1944283,188407,207943,"236965.5",881892,2915003
114,1977898,1977898,38082,85140,121363,321075,"2135275.9999999953"
115,2011513,2011513,37530,111983,141408,362088,2594120
116,2045128,2045128,7846,32100,60006,375749,2462266
117,2078743,2078743,34368,80776,103022,248077,2472218
118,2112359,2112358,9820,43080,"81802.5",180548,2379948
119,2145974,2145973,82976,109114,"125031.5",170473,2187157
120,2179589,2179589,32211,36546,62850,95810,2080887
121,2213205,2213205,24894,26708,45523,185483,2026737
122,2246821,2246820,26876,36068,39234,178783,1984539
123,2280436,2280436,23108,25850,"38785.5",185012,1931726
124,2314051,2314051,18889,21593,37224,115453,1828308
125,2347668,2347668,19572,22712,29016,140703,1820216
126,2381284,2381284,13095,15354,23994,97889,1743032
127,2382668,2382668,838,1791,2466,84408,1702389
128,2382684,2382684,30526,30650,31010,49598,1410295
129,2382687,2382687,1135,1194,1438,"12395.5",1345298
130,2382688,2382688,15270,15427,15886,"24771.5",1329708
131,2382691,2382691,10765,10862,11466,20184,1263008
132,2382701,2382701,13430,"14005.5",14090,26211,1200172
133,2382712,2382712,287,"779.5",1057,7676,1149603
134,2382713,2382713,19045,"19464.5",20050,"30532.5",1113198
135,2382714,2382714,1025,1591,"1955.5","11518.5",1090351
136,2382715,2382715,11003,11993,"12491.5","21833.5",1076005
137,2382716,2382716,1212,1263,1678,"17374.5",948965
138,2382719,2382719,522,"982.5",1372,"17518.5",851249
139,2382731,2382731,894,"1020.5",1242,17056,812895
140,2382738,2382738,768,921,1147,6441,722857
141,2382744,2382744,1744,1799,2154,8340,642511
142,2382745,2382745,1357,1419,1551,11175,621790
143,2382746,2382746,932,1078,1520,15204,538584
144,2382748,2382748,950,1492,"1548.5",7919,486501
145,2382761,2382761,3002,"3908.5",4361,23865,426878
146,2382762,2382762,748,"849.5",1077,9071,377775
147,2382765,2382765,1393,1583,2011,3343,324625
148,2382766,2382766,4191,"4305.5",4927,7362,276766
149,2382772,2382772,1497,"2090.5",2213,4301,222844
150,2382786,2382786,1217,"1679.5",1954,3620,124657
