height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"454,210","511,261","580,493","717,554","805,675"
1,2,2,"419,383","480,013","547,474","684,089","771,818"
2,3,3,"410,758","473,590","542,960","675,924","764,402"
3,6,6,"312,183","376,190","445,904","578,033","666,635"
4,7,7,"212,725","280,708","348,179","479,490","567,536"
5,8,8,"107,042","176,607","243,105","374,574","462,587"
6,9,9,"7,367.6","18,569","108,808","192,287","361,521.2"
7,10,10,"6,522.8","7,197","24,061","107,811","277,681.8"
8,11,11,"10,764.4","11,244","16,098","70,161","240,865.4"
9,12,12,"2,808.6","3,604","4,165","31,524","203,375.6"
10,13,13,"3,934.6","4,523","5,170","8,276","124,898"
11,14,14,"2,868","3,463","3,543","5,198","46,739.2"
12,15,15,"5,160.8","5,601","6,046","8,859","14,127.8"
13,16,16,"3,407","3,753","4,079","7,893","23,284.2"
14,17,17,"3,263.4","3,972","5,650","11,048","27,895.4"
15,18,18,"5,552.2","6,083","8,012","12,206","18,917.6"
16,19,19,"4,580","5,265","8,156","10,910","29,339"
17,20,20,"3,207.4","3,798","6,628","9,679","23,774.4"
18,21,21,"2,378","3,120","9,207","15,949","18,233.8"
19,22,22,"2,019","2,607","3,487","12,682","17,510.4"
20,23,23,"5,637.2","6,011","6,520","14,052","35,335.4"
21,24,24,"14,110.4","14,981","15,217","25,465","35,737.6"
22,25,25,"3,858.6","4,750","6,916","12,344","20,025.4"
23,26,26,"2,303.6","3,583","5,613","14,365","39,752.2"
24,27,27,"2,666","3,103","8,004","13,994","32,812.6"
25,28,28,"1,549.2","2,349","3,750","9,133","17,236"
26,29,29,"21,543.2","22,075","22,894","26,787","38,656.2"
27,30,30,"4,025.8","4,860","6,077","12,851","23,026.8"
28,71,71,"5,876.8","6,371","6,885","8,932","16,214.8"
29,72,72,"2,490.6","3,570","3,867","8,889","19,308.6"
30,73,73,"3,462.1","3,906","4,467.5","8,098","42,658.3"
31,108,108,"3,819.8","4,647","7,266","17,114","55,503.4"
32,109,109,"1,778.6","2,515","6,348","19,499","59,598.7"
33,110,110,"1,411.4","2,882","5,907","12,376","23,747.4"
34,111,111,"7,119","8,594","20,881","196,710","200,920"
35,123,123,"1,728.1","4,599","21,841","94,943","154,867.8"
36,135,134,"1,173","1,485","3,245.5","5,342","32,241"
37,317,317,"1,625.7","2,098","4,642.5","8,842","57,490.5"
38,"1,138",918,"1,108.2","1,608","5,681.5","10,201","29,130"
39,"1,202","1,202","1,337.8","1,790","3,236","6,898","30,234"
40,"2,901","2,901","2,222.2","2,910","7,124","14,271","32,517.6"
41,"2,934","2,934","17,576.4","18,750","19,495","25,917","39,178.4"
42,"10,755","10,755","3,486.4","4,842","10,852","15,255","21,799.8"
43,"11,264","11,264","6,117.2","7,556","7,919","17,778","21,645.8"
44,"21,633","21,633","4,206.6","6,176","10,418","15,932","34,787.2"
45,"29,900","29,900","4,592","5,938","20,973","27,248","164,671"
46,"30,547","30,508","12,229.1","15,057","23,436","161,907","187,269.8"
47,"57,842","52,738","5,837.7","19,809","42,692","62,413","87,234.2"
48,"59,629","59,629","6,941","43,945","191,363","236,683","633,735"
49,"87,595","63,764","7,000","26,276","103,419","168,953","613,970"
50,"113,202","79,372","7,719","45,356","53,714","150,719","576,170"
51,"112,270","79,733","9,530","16,920","73,423","307,108","691,688"
52,"129,466","80,629","9,832","11,835","33,789","205,418","631,630"
53,"141,493","80,630","10,807","56,398","314,705","410,187","558,594"
54,"175,109","80,713","10,347.5","58,991","218,776.5","308,908","414,089.7"
55,"202,428","169,303","8,250","134,266","205,477","302,172","403,726"
56,"222,689","183,411","12,973.8","102,716","180,032","261,334","362,683"
57,"237,731","226,362","7,627","98,097","153,852","217,538","370,232.2"
58,"249,989","249,989","7,686","132,009","169,841","215,748","361,853"
59,"273,112","270,302","13,565.4","30,833","67,786","112,250","277,566"
60,"281,422","271,103","18,843","74,462","316,480","511,918","736,064"
61,"315,038","289,425","14,656","61,526","185,120","356,202","574,373"
