height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"367929.5","614154.5",707976,"932277.5","1241751.5"
1,2,2,362673,"604956.5","705708.5",924933,"1237565.5"
2,3,3,"358306.5","599236.5",702273,"922713.5","1233778.5"
3,4,4,316244,"555486.5",662442,"879942.5",1193636
4,7,7,229843,466742,576606,"792301.5","1106691.5"
5,8,8,183432,418976,"531204.5","745610.5","1063766.5"
6,9,9,"24474.4",330533,439931,644163,"967439.5999999999"
7,10,10,"8458.600000000002",256941,370414,570618,"898768.9999999998"
8,11,11,"10356.800000000001",196864,317817,509895,"849762.3999999998"
9,12,12,"7837.8",99243,223133,412180,"754902.1999999997"
10,13,13,7155,49668,175479,362448,"706541.3999999997"
11,14,14,"4570.6",7789,89530,274798,"621094.5999999997"
12,15,15,"1283.8000000000002",1671,8761,186329,"535500.7999999998"
13,16,16,"2610.4",3288,11024,156874,"508280.1999999997"
14,17,17,"5490.8",6127,11883,123316,"476861.3999999998"
15,18,18,"1044.4",1687,6821,79746,"437925.79999999976"
16,19,19,899,1439,5110,12607,"382967.39999999973"
17,20,20,713,1217,2406,12699,"348673.59999999974"
18,21,21,2127,2417,2796,6588,"225903.19999999972"
19,22,22,"5710.6",6066,6154,12409,"230315.79999999976"
20,23,23,3901,4388,5601,12444,"153635.19999999975"
21,24,24,"2432.4",2834,3531,14473,"97921.39999999975"
22,25,25,5764,6049,8072,15407,"48657.59999999989"
23,26,26,"7057.4",7472,7724,20535,"45593.19999999998"
24,27,27,3416,3791,4738,11363,"56460.59999999995"
25,28,28,1622,2112,7854,13867,"49496.399999999965"
26,29,29,"1969.8000000000002",2378,3738,8193,"38632.999999999956"
27,30,30,"5679.4",6256,7603,17061,26516
28,31,31,"22242.8",22695,23647,27860,"39831.19999999998"
29,32,32,25166,25768,27796,35754,42472
30,33,33,"1132.8000000000002",1617,2780,16639,"33816.59999999999"
31,34,34,"24583.199999999997",25460,27548,35069,"46139.79999999999"
32,35,35,"2978.8",4319,7230,13718,"20505.799999999996"
33,36,36,"5928.4",6341,9082,11219,"32120.599999999988"
34,37,37,3569,3956,4267,7345,"26364.599999999962"
35,38,38,"6926.6",7161,8106,14475,"40709.19999999991"
36,39,39,"1270.8000000000002",1509,4119,7125,"27830.59999999996"
37,40,40,"3651.8",3945,4716,5493,"17221.799999999974"
38,41,41,"4852.4",5084,5147,6229,"13428.799999999992"
39,70,70,"3494.6000000000004",3836,3942,6735,"20839.799999999974"
40,71,71,"4358.4",4688,4826,8769,"25706.199999999968"
41,76,76,"1122.4",1375,1651,4243,"11128.599999999999"
42,77,77,"1152.2",1754,2316,4745,"9559.999999999996"
43,118,118,"781.8000000000001",1039,3479,10027,"36493.79999999997"
44,119,119,"3502.4",4009,5371,14391,"30760.59999999997"
45,123,123,1350,2317,54030,137434,"143390.59999999998"
46,124,124,"4883.6",5381,25229,94645,"103793.59999999998"
47,125,125,3264,4705,4860,9426,"16208.399999999998"
48,131,131,"623.8000000000001",1235,1375,5689,"31824.6"
49,147,147,"11729.8",12044,12446,20037,"34489.59999999999"
50,158,158,"24155.4",24885,25047,30601,42246
51,1765,1765,"4394.2",4952,6919,13425,"61307.39999999974"
52,1884,1882,"4603.8",5033,"6030.5",10843,"58951.39999999982"
53,5153,5153,"7758.8",8420,9792,15941,"29836.399999999976"
54,6235,6235,"37719.4",38535,"41477.5",45951,"90725.69999999963"
55,12410,9838,"17374.9",23316,24780,35136,"70001.89999999985"
56,13063,13063,34070,35296,42489,55752,"114355.39999999995"
57,28025,21167,10464,17510,20683,27445,140066
58,28146,28131,"3868.0000000000005",4923,13342,22135,"139471.59999999974"
59,43898,43898,"6652.400000000001",9102,15969,34119,"90724.59999999989"
60,47903,47903,"3516.8000000000006",4576,16906,31141,"170592.99999999994"
61,85322,81289,13345,15301,28483,56061,143321
62,91322,91296,2611,11098,21777,68318,212684
63,120925,120618,4984,20888,66156,144019,253822
64,134279,122920,6420,11603,48499,108771,269628
65,163127,137957,14887,17534,34153,68898,234314
66,167945,167945,6308,9549,"39520.5",198366,393819
67,220793,202716,16804,46726,150011,552889,942056
68,314987,280606,75029,139328,389766,748933,1747039
69,415089,307972,44102,157671,382606,545048,1615584
70,419558,405257,"76055.1",205930,358941,562130,1342356
71,470993,428459,24167,102805,231842,393182,"689101.5999999996"
72,516345,438355,31455,69725,157266,260510,"782593.7999999961"
73,451152,451152,28687,57288,135068,336297,981006
74,458091,458091,23359,104319,372685,765827,1103479
75,592574,592573,81483,127935,175979,444260,771369
76,672018,602121,"36085.4",200679,351748,675367,"1417757.4"
77,736603,653611,35074,167108,273275,641489,"1370863.5999999996"
78,740655,740655,104786,275942,642046,840289,1437521
79,875137,770444,33559,124452,379529,648233,1443487
80,1002559,917430,127265,433004,701369,1094127,1364685
81,1137042,1099521,82721,147554,237851,519016,912024
82,1271524,1271524,28798,327104,448912,813899,3816744
83,1406006,1347273,39495,152754,438973,978466,4318906
84,1475710,1439128,35813,176566,548549,959212,4425498
85,1561906,1561906,"31310.100000000002",63407,"345804.5",869454,"4382577.3"
86,1563971,1563971,"2403.4",5190,"284321.5",866874,"4380426.5"
87,1578716,1578716,110775,124335,152242,311505,4053292
88,1621567,1621567,124820,130455,167156,543604,3983139
89,1643686,1643686,"62512.2",70070,101784,500658,"4617244.199999988"
90,1692138,1692138,220916,258056,484255,1168017,6893726
91,1736914,1705027,103906,233353,388762,"2609003.5","6628199.1999999955"
92,1871397,1744351,85962,111027,298402,2917562,7117003
93,1938865,1924361,139163,"254691.5","405952.5","2207912.5",6173390
94,1983774,1924370,78691,"177885.5","263502.5","1010271.5",5676366
95,2118256,1999356,71253,91526,"130503.5",728565,6165719
96,2153200,2153200,13694,33003,492378,4037418,7922625
97,2243258,2171153,30314,39584,"285999.5",2016343,8431880
98,2243275,2243267,"890.2000000000002","1074.5","287115.5",3462173,"8415673.299999997"
99,2243276,2243276,"1382.1000000000001",1655,"545499.5",3877305,"8382763.799999996"
100,2278075,2243277,1191,1334,511639,3572091,8294219
101,2278076,2243278,"1419.9","1591.5",266511,3579313,"8353449.199999996"
102,2243279,2243279,1126,1707,447321,3547720,"8379707.199999997"
103,2243280,2243280,"915.6000000000001",1101,397665,3503609,"8345045.999999997"
104,2243290,2243290,26321,27766,"32919.5",362888,"4811701.099999997"
105,2274356,2267640,86483,92656,112860,367306,4841156
106,2292388,2274357,"24281.5",24670,"40714.5",438827,4968307
107,2274358,2274358,"16202.8",16816,16997,63301,"4533617.6"
108,2282785,2282785,"68958.20000000001",72482,74384,126989,"4414254.8"
109,2282943,2282943,"223.60000000000008",821,5205,65907,"4330971.199999999"
110,2282944,2282944,"28960.3","29176.5",30691,551135,"4255520.899999999"
111,2298794,2282946,59164,71385,75767,156584,3140573
112,2307650,2307650,"3822.2000000000007",6118,"54664.5",125610,"3037494.3"
113,2311948,2311948,"2769.8",3445,64010,143731,"3035094.9999999995"
114,2311949,2311949,"745.6000000000001",978,50572,148169,"3021324.3999999994"
115,2311950,2311950,"845.2",1088,28826,142230,"2999854.5999999996"
116,2311951,2311951,"616.4000000000001",925,19761,104786,"2943625.9999999995"
117,2311952,2311952,"740.6000000000001",906,15126,72561,"2899731.9999999995"
118,2311953,2311953,"515.4000000000001",715,12963,45584,"2863931.6"
119,2311954,2311954,1156,1605,8630,19316,2829446
120,2311955,2311955,"1320.2",1592,8632,20177,2801902
121,2311956,2311956,8224,8702,15692,153006,2778276
122,2311957,2311957,24637,25218,36880,59199,2668993
123,2311958,2311958,"3340.1000000000004","3428.5","5455.5",27145,"2564738.6999999997"
124,2311959,2311959,"7457.2",7690,8215,15737,"2495908.4"
125,2311960,2311960,"10402.2",10686,11125,25684,"2409538.3999999994"
126,2311961,2311961,1346,1546,4299,11013,"2317062.5999999996"
127,2311962,2311962,"20102.8",20308,20775,26977,"2278467.5999999996"
128,2311963,2311963,"26792.8",27222,27807,37787,"2225413.1999999997"
129,2311964,2311964,"697.0000000000001",931,7624,15995,"2152410.9999999995"
130,2311965,2311965,"1533.4000000000003",1775,22361,54347,"2111010.3999999994"
131,2312232,2312232,"1046.8000000000002",1404,9466,31748,"2037722.4"
132,2312253,2312253,"938.0000000000001",1112,12965,29776,"1988792.1999999997"
