height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
543,2362745,2362745,"603.2000000000003",1145,"1214.5","1431.5","505759.4999999967"
544,2362746,2362746,347,"858.5",1021,"1216.5","497680.79999999667"
545,2362747,2362747,"772.5000000000002","895.5",972,"1140.5","493679.6999999967"
546,2362748,2362748,1408,1505,1935,2096,"467610.1999999967"
547,2362765,2362765,"1399.7",1607,1907,2072,"449556.79999999667"
548,2362766,2362766,"634.6000000000001",785,854,"1213.5","440569.0999999967"
549,2362767,2362767,"1203.2000000000003",1315,"1402.5",1482,"421510.1999999967"
550,2362770,2362770,1121,"1599.5","1867.5","2164.5","411512.8999999967"
551,2362771,2362771,592,680,1177,1402,340519
552,2362772,2362772,1044,1565,"1660.5",1900,321574
553,2362773,2362773,"663.2000000000002",818,884,"1108.5","368347.2999999967"
554,2362778,2362778,"780.3000000000002","938.5","1089.5","1345.5","353273.19999999675"
555,2362793,2362793,934,"1422.5",1629,"1774.5","351213.7999999967"
556,2362794,2362794,"332.20000000000016",754,872,1105,"349136.99999999674"
557,2362795,2362795,"1315.2000000000003",1504,"1930.5",2137,"339052.19999999675"
558,2362796,2362796,"883.7000000000002",976,"1359.5",1672,"331977.99999999674"
559,2362797,2362797,"1132.5000000000002",1259,1508,"1828.5","286879.5999999967"
560,2362814,2362814,"1182.7",1333,1539,"1760.5","270848.2999999968"
561,2362817,2362817,"2048.4",2360,2531,3402,"214066.09999999675"
562,2370482,2370482,3075,3427,3767,4916,128796
563,2370483,2370483,937,1539,1609,1951,77145
564,2370514,2370514,"1453.9",1542,"1751.5",1935,"121551.49999999677"
565,2370641,2370641,"2010.9","2214.5","2331.5",2786,"59125.39999999685"
566,2373152,2373152,2474,2787,3270,3673,4978
567,2376462,2376462,"2202.0000000000005","2436.5",3124,3429,"57162.89999999701"
568,2377548,2377548,3021,3765,"4269.5","4719.5","57568.699999997036"
569,2378414,2378414,2016,2168,2332,2631,3109
570,2383301,2383301,"2028.4000000000003",2365,2574,"3276.5","51017.29999999733"
571,2383302,2383302,"804.0000000000001",912,"1231.5","1440.5","48352.299999997354"
572,2383303,2383303,329,757,941,"1089.5","47177.29999999743"
573,2383304,2383304,"1051.4",1220,"1428.5",1582,"43665.39999999763"
574,2383324,2383324,"541.2",637,802,946,"41340.49999999774"
575,2383325,2383325,956,1403,1447,1803,39025
576,2383326,2383326,763,1204,1645,1831,14175
577,2383339,2383339,"1080.8000000000002",1328,1463,"1682.5","37206.79999999802"
578,2383345,2383345,"1059.2000000000003",1201,1312,1447,"36444.39999999803"
579,2383348,2383348,"1251.9",1337,"1858.5",1936,"33374.699999998236"
580,2383349,2383349,"1145.1","1543.5",1991,"2120.5","31437.999999998337"
581,2383350,2383350,737,"1181.5",1347,"1537.5","29205.899999998466"
582,2383370,2383370,"949.6000000000001",1106,"1254.5","1408.5","28137.899999998495"
583,2383371,2383371,"1107.9",1411,1682,1737,"27858.299999998526"
584,2383372,2383372,"1314.4","1525.5","1683.5",1983,"28085.799999998588"
585,2383373,2383373,"1551.2",1669,1924,2132,"26935.0999999986"
586,2383374,2383374,"761.1000000000001",929,1079,"1361.5","24831.199999998673"
587,2383390,2383390,"646.9000000000001","707.5",1244,"1513.5","22009.69999999886"
588,2383410,2383410,"1558.8","1777.5","1798.5",1898,"19875.69999999901"
589,2383412,2383412,"1373.2",1481,1622,"1877.5","19463.499999999032"
590,2383413,2383413,"1034.5000000000002","1146.5",1192,"1463.5","17666.199999999088"
591,2383414,2383414,"1138.4",1416,1656,1759,"17740.799999999108"
592,2383415,2383415,"575.2000000000002",764,"888.5","1085.5","16199.999999999165"
593,2383420,2383420,"1286.6","1471.5",1544,"1678.5","16551.99999999918"
594,2383427,2383427,"1445.6000000000001",1608,1728,1892,"14580.499999999312"
595,2383437,2383437,"786.6000000000001",885,1085,1270,"13068.099999999376"
596,2383438,2383438,"908.7000000000002",1039,"1187.5",1497,"13981.899999999392"
597,2383439,2383439,"610.4000000000001",765,"883.5",1139,"11622.799999999423"
598,2383440,2383440,"589.8000000000001",768,"873.5",1028,"9291.999999999543"
599,2383441,2383441,"1415.6000000000001","1603.5","1816.5",1961,"9614.39999999957"
600,2383442,2383442,"1213.5",1357,"1463.5",1691,"8549.199999999613"
601,2383443,2383443,"992.9000000000001",1293,1476,"1982.5","8647.599999999644"
602,2383451,2383451,"786.5000000000001","956.5",1169,1314,"5720.6999999997815"
603,2383464,2383464,"1012.0000000000001",1113,"1317.5","1511.5","3925.199999999876"
604,2383465,2383465,740,"1124.5","1475.5",1665,"2709.3999999999623"
605,2383466,2383466,"1144.5",1292,1704,"1774.5","1917.2999999999997"
606,2383476,2383476,"1340.8000000000002",1534,"1663.5",1767,"1982.7999999999995"
607,2383488,2383488,"820.7","896.5",1299,"1367.5","1743.9999999999984"
608,2383491,2383491,"1111.8000000000002",1264,"1395.5",1587,1955
609,2383492,2383492,"961.2000000000002",1138,1182,1326,"2224.299999999998"
610,2383493,2383493,"695.5000000000001","990.5",1317,1422,"1825.7999999999986"
611,2383494,2383494,"955.3000000000002","1096.5","1132.5","1233.5","1510.5999999999985"
612,2383495,2383495,"1206.2",1311,"1521.5",1816,"1939.199999999998"
613,2383496,2383496,"1387.5","1637.5",1851,2344,"2681.199999999998"
614,2383512,2383512,"1496.9","1566.5",1829,"2016.5","2117.6999999999985"
615,2383518,2383518,"1946.0000000000002",2084,2140,"2357.5",2522
616,2383519,2383519,"2015.7000000000003",2091,"2218.5",2432,2717
617,2383520,2383520,"1420.4",2056,2105,2394,2955
618,2383539,2383539,"1270.3000000000002","1485.5",1615,"1728.5",1804
619,2383542,2383542,"1342.6000000000001","1600.5",1943,2061,"2261.999999999999"
620,2383543,2383543,"1546.4",1702,1860,"1978.5","2120.999999999999"
621,2383544,2383544,"1376.2000000000003","1531.5",1812,"1964.5","2183.699999999996"
622,2383545,2383545,"1195.8000000000002",1321,1424,1621,"1808.1999999999991"
623,2383546,2383546,"1123.2000000000003",1268,1318,1552,"1725.9999999999975"
624,2383547,2383547,"1619.6000000000001","1762.5",1855,"2171.5","2391.299999999998"
625,2383560,2383560,"789.1000000000001","965.5",1194,"1399.5","1616.699999999998"
626,2383569,2383569,"2122.6000000000004",2293,2499,2604,"2825.4999999999945"
627,2383578,2383578,"1255.7",1398,1496,"1644.5","2714.4999999999936"
628,2383591,2383591,"685.3000000000001",791,862,"1042.5","1329.9999999999998"
629,2383592,2383592,"877.0000000000001",1100,"1437.5","1592.5","1915.4"
630,2383613,2383613,1143,1637,"1838.5",2101,"2224.0999999999976"
631,2383614,2383614,"986.3000000000002",1106,"1193.5","1296.5","1568.7999999999977"
632,2383615,2383615,"1265.9",1481,1595,"1915.5","2293.5999999999985"
633,2383636,2383636,"1078.3000000000002",1229,1265,"1537.5","1755.599999999999"
634,2383637,2383637,349,"766.5",1073,1290,"1429.399999999998"
635,2383638,2383638,976,"1444.5","1765.5","1976.5","2100.9999999999986"
636,2383639,2383639,"1181.4",1377,1474,1687,"1944.5999999999976"
637,2383640,2383640,"1060.3000000000002","1223.5","1290.5","1451.5","1692.3999999999992"
638,2383641,2383641,"744.8000000000002",1001,1358,1482,1765
639,2383662,2383662,"520.5000000000001",682,"743.5",863,"1268.9999999999986"
640,2383663,2383663,"923.2000000000002",1018,1370,"1528.5","2149.899999999974"
641,2383677,2383677,"1467.4",1620,"1773.5",2058,"2376.8999999999937"
642,2383685,2383685,"1417.7",1546,"1746.5",1892,"2185.299999999992"
643,2383686,2383686,"852.2000000000002",1125,"1404.5","1520.5","1725.1999999999994"
