height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"595,613","623,460","748,078","854,059","918,153"
1,2,2,"566,523","595,287","720,242","826,509","890,223"
2,3,3,"540,809","569,846","695,784","801,355","866,265"
3,6,6,"478,043","507,681","633,622","739,372","804,307"
4,7,7,"414,301","445,423","571,344","677,306","740,817"
5,8,8,"354,552","387,791","512,775.5","620,432","681,525"
6,9,9,"285,952","294,995","416,796","561,624","622,810"
7,10,10,"196,545","199,316","322,980","467,217","530,745"
8,11,11,"105,721","106,675","232,022","375,601","438,812"
9,12,12,"37,059","37,188","162,823","306,426","369,721"
10,13,13,"7,010.6","7,545","8,005","16,921","298,508.8"
11,14,14,"1,526","2,050","2,587","4,682","238,176.4"
12,15,15,"1,726.4","2,258","2,746","3,788","214,452"
13,16,16,"2,108.4","3,266","3,979","8,858","101,333.4"
14,17,17,"1,962.2","2,669","3,352","5,272","68,350.4"
15,18,18,"1,369.8","1,930","2,841","6,131","27,929.4"
16,19,19,"4,663.6","5,152","6,833","9,351","13,003.2"
17,20,20,"1,179.2","1,575","1,830","3,308","15,131.4"
18,21,21,"4,880.8","5,334","5,582","8,485","13,054.8"
19,22,22,"2,364","2,731","3,116","12,924","19,446"
20,23,23,"2,958.2","3,461","4,429","8,710","11,293.2"
21,24,24,"2,095.8","2,716","3,311","7,415","13,230.6"
22,25,25,"6,581","7,384","8,943","14,092","37,356.8"
23,26,26,"2,964","3,729","4,456","5,826","12,566.2"
24,27,27,"3,888.8","4,577","5,888","7,528","13,567.2"
25,28,28,"18,478","19,486","20,465","21,202","32,188.4"
26,29,29,"3,207","4,027","4,415","7,589","21,706"
27,30,30,"5,089.4","5,814","6,741","10,606","26,118"
28,31,31,"10,645.8","12,136","13,443","16,611","26,392"
29,32,32,"1,813","3,084","4,590","11,087","30,074.6"
30,33,33,"2,895","3,635","4,925","7,843","17,583.2"
31,34,34,"2,279.8","3,095","6,736","16,203","21,535.8"
32,45,45,"3,330.4","3,949","6,815.5","14,505","36,398.7"
33,66,62,"1,834.4","6,043","19,995","133,658","169,539.6"
34,67,67,"4,741.6","10,255","20,937","101,443","150,062.6"
35,93,93,"4,548.6","6,896","8,442.5","16,721","67,700.3"
36,94,94,"8,632.4","9,241","9,605","10,713","39,977.6"
37,117,117,"2,570.2","3,450","4,077","5,519","15,966.2"
38,118,118,"13,968","14,824","15,385","18,640","30,344.6"
39,119,119,"1,747.2","2,505","2,630","6,461","23,895.8"
40,120,120,"2,516.4","3,098","3,599","11,260","151,039.4"
41,129,129,"2,926.4","3,530","4,907","13,305","64,493.2"
42,130,130,"31,416.6","32,455","32,714","36,023","57,435.2"
43,138,138,"12,389","12,626","13,330","20,086","150,938.4"
44,281,198,"794.3","1,204","3,300.5","25,536","60,398.9"
45,319,315,"4,184.2","4,538","5,191","15,971","105,759.6"
46,"1,950","1,933","1,934.8","3,038","5,248","8,135","30,628.4"
47,"1,965","1,965","3,380.8","3,912","4,316","6,343","28,885.8"
48,"6,291","6,291","2,862.1","3,716","5,764.5","12,331","56,778.3"
49,"6,535","6,514","9,139","10,007","11,042","18,208","122,524.2"
50,"14,792","14,299","3,234.5","4,745","7,089","13,253","40,208"
51,"14,764","14,764","8,123.4","10,232","10,457","17,669","56,069.8"
52,"27,155","27,155","6,144.9","7,535","11,738","30,670.5","193,909.3"
53,"27,597","27,450","4,855","9,391","12,892","171,841","426,788"
54,"57,546","33,958","6,852","17,055","24,126","85,458","283,861"
55,"57,145","37,421","11,205","12,769","28,597","152,734","575,707"
56,"64,713","37,809","12,413.7","20,266","210,283.5","306,038","481,841"
57,"96,432","38,242","9,347.4","26,522","115,720","206,260","320,044"
58,"121,297","70,382","11,060","46,614","106,504","200,817","275,696"
59,"122,542","72,373","11,310","100,672","259,854","361,049","434,860.8"
60,"156,157","150,896","13,477.6","53,163","156,144","250,147","316,473.2"
61,"185,820","172,176","10,720","67,823","127,108.5","210,861","290,114"
62,"195,737","187,245","12,772","56,003","118,118.5","123,416","302,899"
63,"218,598","207,211","4,717","45,607","72,667","109,514","293,210"
64,"227,020","227,020","25,419","38,554","104,636","201,296","363,857"
65,"242,380","227,363","4,305","17,658","93,657","207,772","497,395"
66,"259,605","247,350","8,514","68,714","126,112","221,424","624,448"
67,"272,512","259,081","9,805","54,859","108,878","203,996","548,093"
68,"292,696","292,696","59,785.8","133,896","331,304","534,178","965,960"
69,"299,678","294,006","31,898","111,792","280,949","448,692","848,088"
70,"317,765","304,093","17,156","95,661","234,351.5","382,053.5","791,969"
71,"316,372","315,293","26,569","62,857","179,415","357,644","704,351.5"
72,"338,589","338,589","7,073","66,790","142,730.5","271,917","641,690"
73,"372,204","355,376","9,546","35,658","78,258","208,670","589,178"
74,"389,971","384,856","14,074.9","39,687.5","84,357","232,799","569,962"
75,"404,537","404,537","12,932","70,254","225,861","687,170","1,618,353.4"
76,"438,152","438,151","14,963","83,028.5","188,170","592,926.5","1,387,779"
77,"471,766","471,766","41,347","204,182","404,944","512,620","1,879,130"
78,"505,382","505,381","13,309","174,009","357,710.5","478,087","1,852,582"
79,"538,997","538,997","48,074","107,110","262,209","357,677","1,747,094"
80,"572,612","572,612","45,644","169,100","368,522","922,844","1,572,108"
81,"606,227","599,463","12,666","151,950","567,255","922,105","1,432,460"
82,"636,327","633,078","39,226.5","138,994","533,299.5","790,168.5","1,170,024"
83,"669,942","666,693","13,825","130,756","411,684.5","714,810","1,078,968"
84,"703,557","700,308","13,453","171,825.5","255,993","368,971.5","722,937"
85,"733,303","733,303","48,056.4","206,474","709,208","1,114,447","2,261,016.8"
86,"766,918","766,918","65,792.4","314,047","651,423","943,276","2,098,692.8"
87,"800,533","800,532","28,387.8","247,645","441,819","783,985","1,963,657.2"
88,"834,148","834,147","44,953","366,884","928,972.5","1,498,077.5","2,362,500"
89,"867,763","867,762","19,828","438,724","812,402.5","1,425,316","2,132,066"
90,"901,377","901,377","71,256","380,744","748,495","1,256,942","1,931,645"
91,"934,992","934,992","16,824","310,556","552,995","1,227,589","1,785,370"
92,"968,607","968,607","16,113","459,769","1,062,505","1,357,201","1,942,284"
93,"1,002,222","1,002,222","20,540","313,813","738,993","1,296,402","1,839,927"
94,"1,035,837","1,035,837","78,163","538,172","1,911,846","2,847,730.5","4,715,592.3"
