height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"196,961.4","598,829","1,005,113","1,339,338","1,511,748.8"
1,2,2,"179,070.8","580,673","987,048","1,331,878","1,493,815.8"
2,3,3,"172,298","568,957","975,324","1,320,428","1,482,286.2"
3,4,4,"169,083.6","564,191","970,575","1,316,095","1,477,951.6"
4,5,5,"163,441.8","554,425","960,817","1,306,818","1,468,454.4"
5,6,6,"159,295","547,843","954,110","1,300,205","1,461,923"
6,7,7,"157,603.4","545,158","951,344","1,297,983","1,459,471.2"
7,8,8,"154,860.4","540,426","946,578","1,293,482","1,455,000.4"
8,11,11,"147,150","526,752","932,863","1,279,841","1,441,482"
9,12,12,"142,517.8","519,144","925,139","1,272,258","1,433,953.8"
10,13,13,"138,844","513,445","919,373","1,266,726","1,428,434.8"
11,14,14,"123,126","487,721","893,599","1,242,210","1,402,867"
12,15,15,"121,497.6","485,172","890,891","1,240,111","1,400,310"
13,16,16,"121,286.2","484,446","890,259","1,239,745","1,399,751"
14,17,17,"117,562.4","478,705","884,493","1,234,213","1,394,191.8"
15,18,18,"114,748.2","473,964","879,702","1,229,630","1,389,762.8"
16,19,19,"114,589.6","473,248","878,920","1,229,047","1,389,148.6"
17,20,20,"112,306.8","469,457","875,271","1,225,481","1,385,784.8"
18,21,21,"100,995","450,683","856,488","1,206,940","1,367,300.6"
19,22,22,"98,674","446,972","853,022","1,203,692","1,363,826.2"
20,23,23,"64,117.4","389,308","795,415","1,146,409","1,306,307"
21,24,24,"60,420.4","382,592","788,732","1,140,123","1,299,909.4"
22,25,25,"43,475.8","354,985","760,983","1,112,574","1,272,624.2"
23,26,26,"29,654.8","332,319","738,201","1,089,976","1,250,200.2"
24,27,27,"27,577.6","328,711","734,427","1,086,276","1,246,900.8"
25,28,28,"973.8","268,177","673,636","1,025,627","1,186,891.6"
26,29,29,"788.2","242,461","647,938","999,936","1,161,648.4"
