height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,60,60,"45,102","45,102","45,102","45,102","45,102"
58,61,61,"1,704.4","3,567","8,438","11,107","24,936.8"
59,62,62,"1,488.8","2,623","8,919","12,814","26,403.2"
60,85,85,"1,722.8","2,963","4,480","6,742","16,868.2"
61,88,88,"1,327.5","2,301.5","3,775.5","12,901.5","17,862.3"
62,89,89,"3,033","3,863","9,244","15,145","31,118"
63,92,90,"2,222","4,954","7,383.5","16,446","37,642"
64,95,95,"8,068.2","9,455","10,487","13,738","46,327.6"
65,96,96,"1,410.8","2,897","3,523","5,866","37,314.8"
66,97,97,"5,072","6,503","7,495","13,919","45,585"
67,118,104,"4,683","5,792","6,748","8,796","27,036"
68,120,120,"2,376.5","3,233","7,120","16,948.5","29,630.5"
69,122,121,"1,773.4","3,412.5","6,886","9,905.5","17,360"
70,124,124,"1,542.4","2,936","3,911","6,207","19,674.6"
71,127,127,"1,003.7","1,610","2,916.5","5,752","34,887.8"
72,128,128,"3,156.8","3,927","4,967.5","7,499","25,386.2"
