height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"45600.4",99268,202469,651777,"894811.7"
1,2,2,3749,53782,"157327.5",614834,"854620.3999999999"
2,3,3,"4606.3",16010,"119551.5",580132,"819941.7"
3,4,4,"7936.1",10126,113838,577093,"817871.4999999999"
4,5,5,"7158.4",7556,"96038.5",562772,"802976.2"
5,6,6,"5048.4",5442,"81321.5",550830,"791154.3999999999"
6,7,7,"5864.3",6200,"70409.5",541763,"782788.7999999998"
7,8,8,"4308.3",4655,"60490.5",533583,"775181.6999999998"
8,9,9,"4674.1",5154,"55559.5",530896,"772545.6999999998"
9,10,10,"3140.8",4005,42646,519631,"762023.7"
10,11,11,"8195.9",8463,29646,503901,"745404.7"
11,14,14,"28601.1",29906,30882,488487,"728527.8999999999"
12,15,15,19491,19931,"20042.5",465421,"695684.7"
13,16,16,5999,6386,6442,435716,"667729.8999999999"
14,17,17,"6036.7",6350,6466,430291,"661958.7999999999"
15,18,18,"5886.5",6255,6337,419265,"651778.8999999999"
16,19,19,"7487.7",7853,"7927.5",394602,"627178.3999999999"
17,20,20,"6557.6",6874,6965,376018,"607306.5999999999"
18,21,21,20587,20854,20932,359451,"585691.2999999999"
19,22,22,"14872.2",15267,15291,327369,"554458.2999999998"
20,23,23,"7209.2",7453,7529,311585,"538104.6999999998"
21,24,24,"6801.799999999999",7210,"7269.5",266138,"490320.79999999993"
22,25,25,"7031.5",7290,"7347.5",258971,"496651.09999999986"
23,26,26,"7370.200000000001",7607,7694,249394,"486754.7999999998"
24,27,27,"11229.8",11487,"11586.5",210321,"435687.4999999999"
25,28,28,"5872.3",6170,"6357.5",200335,"424951.39999999985"
26,29,29,"8189.3",8938,"9041.5",177117,"392218.19999999984"
27,30,30,"8440.1",8714,"8814.5",164931,"372041.4999999999"
28,31,31,"9432.6",9763,9877,140226,"338704.7999999999"
29,32,32,"6224.5",6989,7083,105935,"300625.3999999999"
30,33,33,"5228.4",5456,5493,85899,"280323.89999999985"
31,34,34,"3225.1",3427,3574,57004,"259560.09999999983"
32,35,35,"2866.9",3218,"3263.5",23292,"230492.8999999998"
33,36,36,"3054.8999999999996",3389,"3516.5",11248,"230100.8999999997"
34,37,37,"3280.2",3562,3644,11958,"245596.29999999964"
35,38,38,"3140.9",3456,3517,12376,"238226.29999999973"
36,39,39,"7176.3",7460,"7707.5",13209,"112266.59999999992"
37,40,40,"2620.5",2908,2938,7595,"64984.99999999993"
38,41,41,"3324.2",3686,3993,9425,"30652.19999999993"
39,42,42,"3581.7",3928,"4085.5",8077,"36096.29999999987"
40,43,43,"3342.5",3635,"3890.5",7877,"36983.99999999994"
41,44,44,"3663.8",4017,4054,7326,"23667.599999999948"
42,45,45,"2422.7",2682,"2902.5",6273,"41323.49999999981"
43,46,46,"3007.9",3453,"3598.5",7231,"41884.59999999987"
44,47,47,"8849.1",9037,9198,15745,"20658.6"
45,48,48,4467,4680,4949,12437,"24121.699999999953"
46,49,49,"6176.900000000001",6401,6517,14446,"25384.59999999994"
47,50,50,"8258.4",8404,8467,11288,"17717.399999999994"
48,51,51,"4064.7",4296,4313,7261,"17094.29999999999"
49,52,52,"5290.2",5459,"5480.5",8890,"11947.699999999999"
50,53,53,"6423.1",6675,6751,9750,"11082.599999999995"
51,54,54,"3721.5",3930,3973,7487,"13247.199999999997"
52,55,55,"5923.700000000001",6077,6106,9906,"12997.299999999988"
53,76,76,"11911.6",12037,"12139.5",22283,"67491.69999999997"
54,97,97,"3752.9",3884,3911,9840,"51055.999999999985"
55,98,98,"704.4000000000001",939,1218,7024,"52345.19999999998"
56,104,104,"354.3",556,737,14656,"59760.799999999974"
57,105,105,"453.6",684,"886.5",16831,"65630.19999999998"
58,106,106,"623.4",721,"924.5",15935,"68497.09999999998"
59,110,110,"490.8",671,935,8527,"62525.7"
60,111,111,"699.3",717,922,11721,"57672.899999999994"
61,115,115,"364.1",567,738,15219,"60684.999999999985"
62,118,118,1089,1301,44112,44474,49163
63,129,125,1235,1375,19130,19512,27590
64,132,132,"3989.1",4173,4480,11561,"16861.199999999993"
65,133,133,"3548.2",3818,4096,7212,"8189.9"
66,134,134,"328.1",364,"663.5",6830,"9677.799999999994"
67,135,135,"552.4",752,998,4638,"11142.299999999992"
68,136,136,"985.2",1021,"1237.5",5824,"11357.199999999979"
69,137,137,"5515.3",5727,"5784.5",8166,"8857.899999999998"
70,138,138,"479.1",718,902,5153,"10276.999999999978"
71,139,139,"7572.8",7895,"8044.5",10406,"11976.199999999999"
72,140,140,"3234.7",3466,3697,7185,"9528.199999999993"
73,141,141,"860.3",1034,"1243.5",4367,"7896.799999999994"
74,142,142,"618.7",840,"1045.5",4030,"12372.999999999958"
75,146,146,"799.4",997,1142,4745,"14720.499999999985"
76,154,154,"405.4",535,691,10917,"38563.800000000054"
77,157,156,"13246.2",13461,13684,16497,"43697.20000000004"
78,166,166,"299.6",356,"500.5",3957,"28708.59999999988"
79,167,167,"1013.8",1220,"1391.5",4880,"26559.19999999991"
80,188,188,"267.2",428,598,3387,"4615.499999999998"
81,280,280,"9124.1",9359,"9511.5",15236,"30234.999999999927"
82,404,404,"145.40000000000003",376,"565.5",7163,"15803.199999999995"
83,926,926,"595.7",864,"1030.5",6824,"9586.599999999991"
84,1295,1295,1130,1285,1547,11405,"38578.600000000064"
85,1345,1335,10462,13550,13740,20116,"39360.00000000003"
86,1959,1959,"10507.4",10774,"11002.5",16483,"42836.59999999986"
87,2055,2055,"938.4",1184,"1287.5",8270,"42268.799999999916"
88,2793,2793,"201.00000000000003",924,"1227.5",11661,"50201.999999999985"
89,3150,3150,"396.70000000000005",738,1075,8788,"25322.199999999993"
90,10142,10142,"1281.8000000000002",3130,3450,12288,"44606.499999999985"
91,10787,10787,"695.6",1136,1392,12655,"18991.59999999999"
