height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
100,198,192,"4,608","6,725","10,327","23,774","58,621"
101,199,199,"15,063","16,618.5","20,222","37,938","73,595.9"
102,204,204,"4,489.4","6,685","8,533.5","27,652.5","84,916.6"
103,206,206,"3,231.3","4,388","10,754.5","29,755","166,972.9"
104,211,207,"4,114.5","5,950","9,018.5","36,964","164,480"
105,250,250,"3,344.6","5,964","6,959","16,513","155,232.8"
106,462,462,"3,560.6","8,048","12,016","41,047","149,205"
107,704,704,"7,052.8","11,402","15,134","37,736","148,245.8"
108,"1,326","1,326","17,979.6","20,716","25,514","41,508","124,244.2"
109,"1,661","1,661","4,426.2","7,256","10,395","36,315","108,589.4"
110,"1,974","1,974","8,061.6","14,351","19,044","50,929","96,424"
111,"2,660","2,660","15,309.9","20,868","24,765","57,420","125,785.5"
112,"6,974","5,979","19,133","26,419","34,094.5","63,170","93,494"
113,"7,961","7,723","10,718","21,495","30,486","47,847","95,757"
114,"8,525","8,138","11,786.5","17,183","23,594","49,386","65,493.3"
115,"9,239","9,239","7,365.3","10,646","14,554","48,522","72,984.2"
116,"12,095","12,026","14,785.4","24,493","49,698","147,883","185,940.4"
117,"17,121","13,736","20,144","32,568","98,240","136,617","161,896"
118,"21,894","14,365","18,637","37,049","49,723","79,426.5","130,386"
119,"23,337","23,337","7,823.4","16,271","30,583","62,473","114,811.6"
120,"24,556","24,556","8,825","17,124","29,546","62,287","128,189.6"
121,"25,767","25,767","42,727","46,095","54,657","73,074","135,997.4"
122,"32,729","32,729","16,871","22,080","26,224","51,683","152,236.2"
123,"40,688","32,807","15,871.4","40,028","82,347","134,759","191,682.8"
124,"43,476","41,796","14,795","44,910","69,158","116,447","181,760"
125,"46,173","42,399","12,463","34,895","74,907","95,246","165,826"
126,"47,866","46,960","10,437.4","21,547","67,827","86,148","167,610"
