height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"166730.40000000002",391581,633415,738131,845438
1,2,2,"142333.2",367229,606377,710987,"819027.9999999999"
2,3,3,"132866.80000000002",352138,591436,695696,804060
3,6,6,"110719.00000000003",313956,553795,657439,"766317.3999999999"
4,7,7,"96846.00000000001",291607,533383,635248,744780
5,8,8,"86973.40000000001",275249,517150,618924,"728601.7999999999"
6,9,9,"79283.40000000001",261775,504176,606067,"715609.3999999999"
7,10,10,"63735.60000000001",235738,478785,580034,"689827.3999999999"
8,11,11,"55270.000000000015",221297,465931,567079,"675989.7999999999"
9,12,12,"33414.600000000006",181806,427772,527980,"637371.9999999999"
10,13,13,18171,157665,404339,503972,"613102.7999999999"
11,14,14,"9206.800000000001",144351,394032,490649,"600055.3999999999"
12,15,15,"4639.8",135818,385962,482391,"593264.2"
13,16,16,"2223.4",130570,381254,477692,"591536.2"
14,17,17,"1953.4",130370,382989,478181,"592236.5999999999"
15,18,18,"2309.6",108417,361749,459606,"569952.2"
16,19,19,"3897.2000000000003",89667,342356,440088,"550591.7999999999"
17,20,20,6254,79355,329472,426739,"538124.5999999999"
18,21,21,"7114.8",57347,307015,404573,"515989.5999999999"
19,22,22,4326,34482,285032,381474,"492700.1999999999"
20,23,23,"4076.6000000000004",33058,283683,380668,"491694.3999999999"
21,24,24,"5506.200000000001",12830,259609,355776,"467230.1999999999"
22,25,25,"5950.8",20396,250731,343623,"455519.79999999993"
23,26,26,"3084.2000000000003",6058,228707,320500,"432468.9999999999"
24,27,27,2088,5530,224033,315530,"427357.9999999999"
25,28,28,"3712.8",6754,204210,293726,"405342.5999999999"
26,29,29,"4600.8",9078,198388,285894,"399241.19999999995"
27,30,30,"2696.6000000000004",7764,185562,273684,"386240.3999999999"
28,31,31,"6129.200000000001",9818,157538,246050,"358978.3999999999"
29,32,32,"2219.6000000000004",4711,145796,236461,"347345.79999999993"
30,33,33,"3139.6",6983,129850,217164,"327167.19999999995"
31,34,34,"2035.8000000000002",4267,111809,200807,"309296.79999999993"
32,35,35,"2229.2000000000003",4209,103540,193941,"302273.19999999995"
33,36,36,"3277.6000000000004",5240,83982,176247,"283388.5999999999"
34,37,37,"1357.4",3625,57783,151458,"257567.3999999999"
35,38,38,"3790.8",6388,46683,141118,"246826.79999999993"
36,39,39,1814,4414,29626,127405,"231940.79999999993"
37,40,40,"2091.8",2881,4321,90707,"195296.59999999992"
38,41,41,"13235.8",15456,17816,85266,"190021.1999999999"
39,42,42,"10820.8",12918,14987,56812,"161840.79999999993"
40,43,43,"2699.8",5435,6040,27030,"131918.3999999999"
41,44,44,"1032.8000000000002",3102,5047,8472,"113010.59999999992"
42,45,45,"2425.4",4295,6877,9633,"102891.99999999991"
43,46,46,"1745.4",3510,6619,10546,"93774.59999999992"
44,47,47,"3073.2000000000003",3916,5212,8553,"80232.19999999992"
45,48,48,"1831.2000000000003",2882,5555,12309,"76366.59999999992"
46,49,49,"2833.4",3958,4283,6522,"63895.59999999992"
47,50,50,"1782.8000000000002",2969,5332,6674,"36615.79999999992"
48,51,51,"1589.4",2674,4103,5560,"30277.199999999924"
49,52,52,"1972.8000000000002",2903,4143,5227,"23612.79999999994"
50,53,53,1625,2456,3616,6574,"16866.199999999968"
51,54,54,"1427.2",2669,5294,6190,"12464.799999999981"
52,55,55,1977,3126,5543,8404,"13550.199999999995"
53,56,56,"1707.8000000000002",3063,4013,7809,"11493.599999999991"
54,57,57,"6293.4",6954,8268,10707,"22831.999999999964"
55,58,58,"2194.4",3155,4436,6050,"23990.79999999998"
56,59,59,1766,2754,4341,7862,"30145.39999999997"
